Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DEN,"W, 100-105",25,5,8,62.5,2,3,66.7,0,0,0.0,1,3,4,2,0,0,0,2,12
"Mon, Jan 29",vs. MIN,"L, 107-101",20,3,3,100.0,1,1,100.0,0,0,0.0,1,3,4,1,1,1,0,1,7
"Sun, Jan 28",@ DET,"L, 104-120",20,3,8,37.5,1,3,33.3,0,0,0.0,1,0,1,0,2,2,0,2,7
"Fri, Jan 26",@ NOR,"W, 107-83",17,3,5,60.0,2,2,100.0,0,0,0.0,0,2,2,1,1,0,0,1,8
"Wed, Jan 24",@ SAS,"W, 140-114",19,9,11,81.8,4,6,66.7,0,0,0.0,0,3,3,1,0,0,1,1,22
"Tue, Jan 23",vs. POR,"W, 109-111",17,6,8,75.0,1,1,100.0,0,0,0.0,2,1,3,0,1,0,0,3,13
"Sat, Jan 20",@ MIN,"W, 102-97",12,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,0,1,0,0,0,5
"Thu, Jan 18",@ UTH,"W, 134-129",22,1,3,33.3,0,1,0.0,2,2,100.0,0,2,2,5,0,0,1,3,4
"Tue, Jan 16",@ LAC,"L, 117-128",17,3,4,75.0,1,1,100.0,0,0,0.0,0,4,4,2,0,1,0,0,7
"Sat, Jan 13",vs. ORL,"W, 100-112",7,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,2,0,4,0
"Thu, Jan 11",vs. POR,"W, 77-139",7,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0
