Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sat, Jan 27",vs. NOR,"W, 117-141",4,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,1,0,0,1,3
"Wed, Jan 24",vs. CLE,"W, 116-126",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Jan 17",@ CLE,"L, 95-135",13,1,5,20.0,1,4,25.0,0,0,0.0,1,1,2,1,0,0,0,2,3
"Sun, Jan 14",vs. SAC,"W, 142-143",18,1,5,20.0,1,4,25.0,2,2,100.0,0,0,0,0,0,0,0,2,5
"Thu, Jan 11",vs. BOS,"W, 102-135",9,3,6,50.0,2,5,40.0,1,1,100.0,0,2,2,2,0,0,1,1,9
"Mon, Jan 8",vs. UTH,"L, 132-116",11,3,4,75.0,2,3,66.7,0,0,0.0,1,0,1,0,0,0,0,0,8
"Sat, Jan 6",@ HOU,"L, 108-112",3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
"Wed, Dec 27",@ BKN,"W, 144-122",4,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,2,3
"Sat, Dec 23",@ NYK,"W, 130-111",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Tue, Dec 19",vs. SAS,"W, 119-132",2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sun, Dec 17",vs. HOU,"W, 119-128",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
