Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ CHA,"W, 117-110",34,4,7,57.1,2,4,50.0,0,0,0.0,2,3,5,3,0,0,3,2,10
"Tue, Jan 30",vs. TOR,"L, 118-107",33,3,9,33.3,1,6,16.7,4,6,66.7,0,3,3,2,3,1,2,2,11
"Sun, Jan 28",@ POR,"W, 104-96",32,3,7,42.9,2,5,40.0,1,2,50.0,0,5,5,3,0,1,1,5,9
"Thu, Jan 25",@ LAL,"L, 132-141",35,6,12,50.0,3,9,33.3,2,2,100.0,1,3,4,6,2,2,2,4,17
"Mon, Jan 22",@ PHO,"L, 113-115",33,5,12,41.7,5,11,45.5,0,0,0.0,1,3,4,3,2,0,3,5,15
"Sat, Jan 20",vs. MEM,"W, 96-125",25,3,6,50.0,2,5,40.0,0,0,0.0,0,3,3,1,0,2,1,3,8
"Thu, Jan 18",@ TOR,"W, 116-110",28,4,6,66.7,2,4,50.0,0,0,0.0,0,3,3,4,1,2,2,4,10
"Mon, Jan 15",@ CLE,"L, 91-109",31,4,9,44.4,2,5,40.0,0,0,0.0,0,3,3,3,2,3,1,1,10
"Sat, Jan 13",@ SAS,"W, 122-116",33,3,5,60.0,3,4,75.0,2,2,100.0,0,6,6,6,1,2,3,1,11
"Fri, Jan 12",vs. GSW,"L, 140-131",29,2,6,33.3,2,6,33.3,0,0,0.0,1,1,2,2,0,0,1,0,6
"Wed, Jan 10",vs. HOU,"W, 119-124",32,3,10,30.0,2,9,22.2,4,6,66.7,2,4,6,3,0,1,1,3,12
