Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. NOR,"L, 110-99",34,4,11,36.4,0,1,0.0,2,2,100.0,2,8,10,5,2,2,0,3,10
"Mon, Jan 29",vs. LAL,"W, 119-135",40,14,23,60.9,1,4,25.0,2,4,50.0,3,9,12,7,4,2,1,4,31
"Sat, Jan 27",@ BKN,"L, 104-106",28,6,13,46.2,0,1,0.0,3,4,75.0,5,6,11,2,3,0,0,2,15
"Fri, Jan 26",@ CHA,"W, 138-104",25,5,7,71.4,0,0,0.0,1,2,50.0,2,4,6,7,2,0,1,2,11
"Wed, Jan 24",vs. POR,"L, 137-131",40,11,17,64.7,1,2,50.0,7,8,87.5,4,6,10,8,2,1,0,5,30
"Sun, Jan 21",vs. BOS,"L, 116-107",36,10,18,55.6,0,2,0.0,4,4,100.0,2,10,12,10,6,1,0,2,24
"Sat, Jan 20",vs. UTH,"W, 126-127",42,15,26,57.7,1,1,100.0,6,10,60.0,8,6,14,6,1,1,1,4,37
"Wed, Jan 17",@ NYK,"L, 94-109",40,7,16,43.8,0,1,0.0,4,7,57.1,3,7,10,5,3,1,4,3,18
"Mon, Jan 15",@ PHI,"L, 115-124",30,7,15,46.7,1,1,100.0,4,6,66.7,5,4,9,6,5,1,2,1,19
"Sat, Jan 13",@ BOS,"L, 113-145",24,8,17,47.1,0,2,0.0,3,3,100.0,2,8,10,3,3,4,0,3,19
"Fri, Jan 12",@ DET,"W, 112-110",37,12,19,63.2,0,1,0.0,5,7,71.4,0,6,6,1,4,1,0,3,29
