Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",vs. PHI,"W, 107-119",38,8,10,80.0,1,2,50.0,6,6,100.0,0,5,5,4,1,3,1,2,23
"Sat, Jan 27",vs. LAL,"L, 145-144",41,8,12,66.7,3,4,75.0,3,5,60.0,1,4,5,3,2,2,1,6,22
"Thu, Jan 25",vs. SAC,"L, 134-133",31,6,8,75.0,2,3,66.7,3,4,75.0,0,4,4,4,2,0,0,2,17
"Wed, Jan 24",vs. ATL,"W, 112-134",29,4,11,36.4,0,4,0.0,4,4,100.0,2,3,5,1,0,0,2,4,12
"Mon, Jan 15",@ MEM,"L, 107-116",31,7,13,53.8,1,3,33.3,1,2,50.0,1,4,5,1,1,0,2,1,16
"Sat, Jan 13",@ MIL,"L, 118-129",32,3,13,23.1,1,3,33.3,0,0,0.0,3,1,4,1,0,0,0,3,7
"Fri, Jan 12",@ CHI,"W, 140-131",31,8,13,61.5,1,5,20.0,0,0,0.0,3,2,5,8,0,1,1,2,17
"Wed, Jan 10",vs. NOR,"L, 141-105",23,2,8,25.0,1,3,33.3,0,0,0.0,0,2,2,2,1,0,0,2,5
"Sun, Jan 7",vs. TOR,"L, 133-118",17,1,6,16.7,0,2,0.0,1,2,50.0,0,2,2,1,1,0,0,0,3
"Fri, Jan 5",vs. DET,"W, 109-113",19,1,5,20.0,1,2,50.0,0,0,0.0,1,1,2,2,1,0,0,2,3
"Thu, Jan 4",vs. DEN,"L, 130-127",27,5,10,50.0,1,4,25.0,0,0,0.0,2,1,3,0,1,0,1,2,11
