Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ CLE,"L, 121-128",18,2,3,66.7,0,1,0.0,0,0,0.0,1,5,6,2,2,2,0,0,4
"Sun, Jan 28",vs. OKC,"W, 104-120",20,3,7,42.9,0,1,0.0,3,3,100.0,2,2,4,1,0,1,1,1,9
"Sat, Jan 27",vs. WAS,"L, 118-104",17,4,6,66.7,0,2,0.0,0,0,0.0,2,0,2,0,1,1,2,0,8
"Wed, Jan 24",vs. CHA,"W, 106-113",27,3,4,75.0,0,1,0.0,1,2,50.0,0,2,2,1,2,2,0,4,7
"Mon, Jan 22",vs. MIL,"L, 122-113",19,0,1,0.0,0,0,0.0,0,2,0.0,1,4,5,1,0,0,0,2,0
"Sat, Jan 20",vs. MIL,"L, 141-135",32,10,15,66.7,2,2,100.0,0,0,0.0,5,4,9,1,1,0,1,4,22
"Wed, Jan 17",vs. MIN,"L, 124-117",22,3,6,50.0,0,2,0.0,1,5,20.0,3,6,9,1,0,0,1,0,7
"Mon, Jan 15",@ WAS,"W, 129-117",27,6,8,75.0,0,1,0.0,2,3,66.7,1,7,8,2,0,3,0,2,14
"Fri, Jan 12",vs. HOU,"L, 112-110",18,2,3,66.7,0,1,0.0,0,0,0.0,2,6,8,0,1,0,0,2,4
"Wed, Jan 10",vs. SAS,"L, 130-108",15,1,6,16.7,0,3,0.0,1,1,100.0,0,6,6,1,1,0,1,4,3
"Tue, Jan 9",vs. SAC,"L, 131-110",14,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,3,0,3,0
