Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ CHA,"W, 117-110",39,7,10,70.0,2,5,40.0,0,0,0.0,0,1,1,6,1,3,1,3,16
"Tue, Jan 30",vs. TOR,"L, 118-107",39,8,11,72.7,4,5,80.0,1,2,50.0,1,4,5,2,4,0,1,4,21
"Sun, Jan 28",@ POR,"W, 104-96",33,5,12,41.7,1,4,25.0,0,0,0.0,0,5,5,3,1,0,3,1,11
"Thu, Jan 25",@ LAL,"L, 132-141",30,6,11,54.5,2,5,40.0,4,4,100.0,1,1,2,1,2,2,1,2,18
"Mon, Jan 22",@ PHO,"L, 113-115",30,6,11,54.5,0,2,0.0,1,2,50.0,1,0,1,0,1,2,1,2,13
"Sat, Jan 20",vs. MEM,"W, 96-125",28,7,10,70.0,3,5,60.0,3,3,100.0,0,6,6,4,3,1,1,1,20
"Thu, Jan 18",@ TOR,"W, 116-110",32,4,9,44.4,0,1,0.0,2,2,100.0,0,1,1,5,0,0,1,2,10
"Mon, Jan 15",@ CLE,"L, 91-109",19,3,7,42.9,1,2,50.0,3,3,100.0,1,2,3,3,0,0,0,3,10
"Sat, Jan 13",@ SAS,"W, 122-116",29,8,9,88.9,3,3,100.0,2,2,100.0,0,2,2,4,2,1,0,4,21
"Fri, Jan 12",vs. GSW,"L, 140-131",17,2,4,50.0,2,3,66.7,0,0,0.0,0,0,0,0,3,0,0,4,6
"Wed, Jan 10",vs. HOU,"W, 119-124",18,3,8,37.5,2,4,50.0,0,0,0.0,2,2,4,3,0,0,0,0,8
