Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. ORL,"L, 108-98",12,2,4,50.0,0,1,0.0,0,0,0.0,0,1,1,1,2,1,0,1,4
"Mon, Jan 29",vs. WAS,"L, 118-113",12,2,4,50.0,1,1,100.0,2,2,100.0,0,1,1,2,1,3,1,3,7
"Sat, Jan 27",vs. MIN,"W, 112-113",20,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,3,1,0,1,1,2
"Fri, Jan 26",vs. POR,"W, 100-116",24,0,5,0.0,0,1,0.0,1,2,50.0,0,2,2,8,1,2,0,1,1
"Wed, Jan 24",vs. OKC,"L, 140-114",28,5,5,100.0,1,1,100.0,1,3,33.3,1,3,4,6,4,0,1,4,12
"Mon, Jan 22",@ PHI,"L, 123-133",19,3,6,50.0,0,2,0.0,0,0,0.0,1,1,2,2,0,1,0,1,6
"Sat, Jan 20",@ WAS,"W, 131-127",15,3,4,75.0,0,0,0.0,0,0,0.0,1,0,1,3,1,1,0,1,6
"Fri, Jan 19",@ CHA,"L, 120-124",15,4,6,66.7,0,1,0.0,1,1,100.0,0,1,1,2,0,0,0,3,9
"Wed, Jan 17",@ BOS,"L, 98-117",7,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,1,0
"Mon, Jan 15",@ ATL,"L, 99-109",13,1,4,25.0,0,2,0.0,1,2,50.0,1,1,2,3,1,0,0,0,3
"Sat, Jan 13",vs. CHI,"L, 122-116",11,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,3,0,0,0,2,2
