GAME,MIN,REB,AST,TO,STL,BLK,PF,PTS,W,L,Diff,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate
0,22,6,0,1,0,0,0,11,15.0,33.0,-9.4,109.4,50.8%,15.0%,29.7%,19.1,118.7,56.8%,14.7%,29.1%,21.5
1,25,12,2,0,0,0,3,9,33.0,16.0,4.1,118.9,56.2%,13.0%,29.2%,18.0,114.7,53.6%,12.5%,26.7%,20.5
2,22,7,2,1,1,0,6,20,28.0,21.0,3.3,117.5,55.9%,13.5%,27.5%,21.4,114.3,54.4%,14.0%,26.2%,20.0
3,22,8,0,1,1,0,3,12,30.0,16.0,4.5,115.9,55.2%,13.7%,28.1%,18.6,111.4,53.0%,14.7%,26.5%,21.0
4,25,6,0,1,0,0,1,8,30.0,16.0,4.5,115.9,55.2%,13.7%,28.1%,18.6,111.4,53.0%,14.7%,26.5%,21.0
5,25,4,0,0,0,1,3,7,6.0,42.0,-10.9,111.3,53.8%,15.6%,27.8%,19.3,122.2,56.6%,11.5%,26.3%,24.4
6,17,3,0,0,0,0,0,4,6.0,42.0,-10.9,111.3,53.8%,15.6%,27.8%,19.3,122.2,56.6%,11.5%,26.3%,24.4
7,21,6,3,1,1,0,0,16,30.0,16.0,4.5,115.9,55.2%,13.7%,28.1%,18.6,111.4,53.0%,14.7%,26.5%,21.0
8,26,10,1,2,0,0,1,22,28.0,19.0,0.1,117.6,56.5%,13.4%,26.4%,17.9,117.5,56.6%,13.8%,24.9%,21.6
9,21,8,0,1,0,0,5,10,21.0,24.0,0.7,118.7,56.0%,14.6%,30.3%,19.9,118.0,54.8%,12.6%,26.9%,22.1
10,22,12,0,0,1,0,1,28,37.0,12.0,8.9,121.2,57.1%,12.6%,27.1%,19.9,112.3,52.8%,11.9%,26.0%,14.9
