Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",vs. LAL,"W, 122-138",25,7,15,46.7,4,9,44.4,0,0,0.0,0,1,1,1,1,0,0,1,18
"Sun, Jan 28",vs. TOR,"W, 125-126",39,7,11,63.6,4,8,50.0,6,7,85.7,0,4,4,2,5,2,2,4,24
"Fri, Jan 26",vs. DAL,"L, 148-143",27,9,22,40.9,4,9,44.4,2,2,100.0,2,2,4,2,0,2,0,2,24
"Wed, Jan 24",@ GSW,"L, 112-134",33,6,11,54.5,4,9,44.4,1,1,100.0,0,0,0,3,1,1,0,1,17
"Mon, Jan 22",@ SAC,"L, 107-122",34,5,12,41.7,2,8,25.0,6,6,100.0,0,2,2,4,2,0,0,4,18
"Sat, Jan 20",vs. CLE,"L, 116-95",28,5,11,45.5,1,6,16.7,3,4,75.0,0,2,2,4,1,1,0,0,14
"Fri, Jan 19",@ MIA,"W, 109-108",35,6,15,40.0,3,7,42.9,2,2,100.0,0,3,3,1,3,0,0,2,17
"Wed, Jan 17",vs. ORL,"W, 104-106",24,4,7,57.1,2,4,50.0,2,2,100.0,1,3,4,1,1,1,1,1,12
"Mon, Jan 15",vs. SAS,"W, 99-109",26,2,10,20.0,1,6,16.7,0,0,0.0,0,2,2,1,3,1,0,2,5
"Sat, Jan 13",vs. WAS,"L, 127-99",24,5,13,38.5,3,8,37.5,1,1,100.0,1,2,3,2,0,3,0,2,14
"Fri, Jan 12",vs. IND,"L, 126-108",25,3,12,25.0,2,5,40.0,2,2,100.0,3,2,5,2,2,3,0,2,10
