Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Jan 11",@ LAL,"W, 127-109",17,2,3,66.7,0,0,0.0,2,2,100.0,2,4,6,2,0,2,2,1,6
"Fri, Jan 5",vs. MIA,"W, 97-113",10,2,2,100.0,0,0,0.0,0,1,0.0,1,2,3,1,0,0,1,1,4
"Wed, Jan 3",vs. LAC,"L, 131-122",19,6,7,85.7,2,2,100.0,0,0,0.0,3,2,5,2,2,1,0,2,14
"Mon, Jan 1",vs. POR,"W, 88-109",20,4,6,66.7,1,2,50.0,2,2,100.0,2,7,9,1,2,0,0,5,11
"Wed, Dec 27",@ HOU,"W, 129-113",2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0
"Fri, Dec 22",@ SAC,"L, 105-120",3,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2
"Fri, Dec 15",vs. NYK,"L, 139-122",2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Tue, Dec 12",vs. GSW,"W, 116-119",5,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0
"Fri, Dec 8",vs. SAC,"L, 114-106",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sun, Nov 5",@ DET,"W, 120-106",3,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
"Sat, Oct 28",vs. UTH,"W, 104-126",4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,2,0,1,0,0
