Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ BKN,"W, 136-120",37,3,8,37.5,1,3,33.3,5,6,83.3,1,3,4,5,3,0,0,1,12
"Mon, Jan 29",@ MIA,"W, 118-105",39,8,21,38.1,2,9,22.2,1,1,100.0,0,5,5,7,1,1,0,3,19
"Sun, Jan 28",@ ORL,"L, 98-113",35,4,13,30.8,0,5,0.0,1,4,25.0,1,4,5,6,4,1,0,4,9
"Fri, Jan 26",@ IND,"L, 131-133",34,5,13,38.5,1,5,20.0,1,1,100.0,1,3,4,3,6,1,1,5,12
"Wed, Jan 24",@ DAL,"W, 132-109",36,8,15,53.3,3,7,42.9,1,2,50.0,2,5,7,7,2,1,1,4,20
"Mon, Jan 22",vs. CHI,"W, 113-115",38,7,17,41.2,2,4,50.0,2,2,100.0,0,4,4,5,1,0,0,0,18
"Sun, Jan 21",vs. IND,"W, 110-117",38,11,16,68.8,0,1,0.0,3,3,100.0,1,3,4,3,2,1,0,4,25
"Fri, Jan 19",@ NOR,"W, 123-109",31,6,12,50.0,1,4,25.0,0,0,0.0,1,6,7,5,0,0,0,4,13
"Tue, Jan 16",vs. SAC,"W, 117-119",38,6,14,42.9,0,4,0.0,1,2,50.0,1,2,3,5,1,2,0,2,13
"Sun, Jan 14",@ POR,"W, 127-116",37,9,13,69.2,4,6,66.7,1,3,33.3,0,4,4,5,4,2,0,4,23
"Thu, Jan 11",@ LAL,"W, 127-109",32,14,21,66.7,8,10,80.0,1,1,100.0,2,4,6,4,3,1,0,3,37
