Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",vs. PHI,"W, 107-119",37,5,11,45.5,1,5,20.0,0,1,0.0,1,5,6,3,3,0,0,2,11
"Sat, Jan 27",vs. LAL,"L, 145-144",28,4,9,44.4,1,3,33.3,1,1,100.0,4,3,7,5,1,1,0,1,10
"Thu, Jan 25",vs. SAC,"L, 134-133",27,3,5,60.0,1,2,50.0,0,0,0.0,1,2,3,2,1,0,0,2,7
"Wed, Jan 24",vs. ATL,"W, 112-134",27,5,9,55.6,0,1,0.0,0,0,0.0,0,3,3,2,2,0,0,1,10
"Mon, Jan 15",@ MEM,"L, 107-116",27,4,12,33.3,0,3,0.0,0,0,0.0,2,2,4,4,2,0,0,4,8
"Sat, Jan 13",@ MIL,"L, 118-129",36,10,14,71.4,3,5,60.0,0,1,0.0,1,9,10,3,0,2,0,3,23
"Fri, Jan 12",@ CHI,"W, 140-131",27,2,8,25.0,0,4,0.0,1,1,100.0,1,2,3,4,0,0,0,3,5
"Wed, Jan 10",vs. NOR,"L, 141-105",25,1,6,16.7,0,2,0.0,0,0,0.0,3,6,9,2,2,0,0,1,2
"Sun, Jan 7",vs. TOR,"L, 133-118",29,2,11,18.2,1,8,12.5,0,0,0.0,2,6,8,4,0,0,0,1,5
"Fri, Jan 5",vs. DET,"W, 109-113",25,4,7,57.1,2,2,100.0,1,3,33.3,2,3,5,5,1,1,0,2,11
"Thu, Jan 4",vs. DEN,"L, 130-127",28,5,10,50.0,3,4,75.0,0,0,0.0,0,2,2,5,0,1,0,2,13
