Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Fri, Jan 12",vs. NOR,"W, 113-125",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0
"Wed, Jan 10",@ UTH,"L, 111-124",6,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,1,0,1,0,0,2
"Sun, Jan 7",vs. DET,"W, 114-131",2,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,0,0,2
"Fri, Jan 5",vs. ORL,"L, 122-120",6,1,3,33.3,1,2,50.0,0,0,0.0,0,2,2,1,0,0,0,1,3
"Mon, Jan 1",vs. CHA,"W, 93-111",4,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0
"Fri, Dec 29",vs. OKC,"L, 119-93",3,1,2,50.0,0,0,0.0,1,1,100.0,0,0,0,0,0,0,0,0,3
"Thu, Dec 28",vs. MEM,"W, 105-142",7,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,2
"Wed, Nov 29",vs. HOU,"W, 124-134",3,0,0,0.0,0,0,0.0,1,2,50.0,0,1,1,1,0,0,0,1,1
"Sun, Nov 26",vs. SAS,"W, 120-132",2,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0
"Mon, Nov 6",vs. NOR,"W, 116-134",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Nov 1",@ MIN,"L, 89-110",5,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,2,0
