Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. CHI,"L, 117-110",13,1,4,25.0,0,2,0.0,3,4,75.0,0,2,2,2,0,0,0,0,5
"Mon, Jan 29",vs. NYK,"L, 113-92",2,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Fri, Jan 26",vs. HOU,"L, 138-104",7,3,5,60.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,0,1,8
"Mon, Jan 22",@ MIN,"W, 128-125",6,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2
"Sat, Jan 20",vs. PHI,"L, 97-89",2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sun, Jan 14",@ MIA,"L, 87-104",5,1,2,50.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2
"Fri, Jan 12",@ SAS,"L, 99-135",24,5,7,71.4,1,2,50.0,1,1,100.0,0,0,0,0,4,1,0,1,12
"Wed, Jan 10",vs. SAC,"L, 123-98",10,1,2,50.0,1,2,50.0,1,2,50.0,0,2,2,1,1,0,0,0,4
"Mon, Jan 8",vs. CHI,"L, 119-112",24,1,7,14.3,1,5,20.0,0,0,0.0,0,1,1,2,0,0,0,1,3
"Fri, Jan 5",@ CHI,"L, 91-104",5,0,4,0.0,0,1,0.0,0,0,0.0,2,0,2,0,1,0,0,0,0
"Tue, Jan 2",@ SAC,"W, 111-104",21,1,3,33.3,0,2,0.0,2,3,66.7,1,1,2,2,0,0,0,1,4
