Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. SAC,"W, 106-115",28,3,7,42.9,0,2,0.0,1,1,100.0,0,3,3,2,1,0,0,3,7
"Mon, Jan 29",vs. PHO,"L, 118-105",25,5,9,55.6,1,1,100.0,1,1,100.0,2,4,6,1,2,0,0,3,12
"Sat, Jan 27",@ NYK,"L, 109-125",16,2,4,50.0,1,3,33.3,1,2,50.0,0,3,3,0,0,0,1,2,6
"Thu, Jan 25",vs. BOS,"L, 143-110",22,2,12,16.7,2,8,25.0,2,2,100.0,1,2,3,2,0,1,0,0,8
"Wed, Jan 24",vs. MEM,"L, 105-96",29,4,8,50.0,3,5,60.0,4,4,100.0,2,2,4,1,2,2,1,2,15
"Sun, Jan 21",@ ORL,"L, 87-105",31,5,7,71.4,1,1,100.0,0,0,0.0,1,3,4,4,2,0,0,2,11
"Fri, Jan 19",vs. ATL,"L, 109-108",27,4,9,44.4,2,3,66.7,0,0,0.0,3,5,8,1,1,0,1,1,10
"Wed, Jan 17",@ TOR,"L, 97-121",26,4,5,80.0,0,0,0.0,2,2,100.0,1,2,3,5,1,0,0,1,10
"Mon, Jan 15",@ BKN,"W, 96-95",34,3,8,37.5,1,4,25.0,2,2,100.0,0,3,3,1,1,1,1,1,9
"Sun, Jan 14",vs. CHA,"W, 87-104",25,1,5,20.0,0,2,0.0,0,0,0.0,0,3,3,2,1,1,0,2,2
"Fri, Jan 12",vs. ORL,"W, 96-99",24,3,6,50.0,1,2,50.0,4,4,100.0,0,4,4,2,0,1,0,1,11
