Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ POR,"L, 116-119",8,0,5,0.0,0,2,0.0,0,0,0.0,1,0,1,2,0,0,0,0,0
"Mon, Jan 29",@ DEN,"L, 107-113",13,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,2,0,1,0,2,3
"Sat, Jan 27",vs. NOR,"W, 117-141",18,4,7,57.1,3,4,75.0,0,0,0.0,0,2,2,5,0,2,0,0,11
"Fri, Jan 26",vs. CLE,"L, 112-100",11,1,3,33.3,1,2,50.0,1,2,50.0,0,2,2,0,0,0,1,2,4
"Wed, Jan 24",vs. CLE,"W, 116-126",13,2,6,33.3,1,3,33.3,0,0,0.0,0,2,2,0,1,1,0,1,5
"Wed, Jan 17",@ CLE,"L, 95-135",13,5,9,55.6,2,5,40.0,1,1,100.0,0,0,0,1,0,1,0,0,13
"Sun, Jan 14",vs. SAC,"W, 142-143",12,5,7,71.4,3,4,75.0,2,2,100.0,0,0,0,1,0,1,0,0,15
"Thu, Jan 11",vs. BOS,"W, 102-135",15,3,4,75.0,1,2,50.0,0,0,0.0,0,4,4,3,0,0,0,0,7
"Sat, Jan 6",@ HOU,"L, 108-112",8,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,1,0,0,0,0,1
"Thu, Jan 4",@ SAS,"W, 125-121",15,0,3,0.0,0,3,0.0,5,5,100.0,0,1,1,4,0,0,0,1,5
"Wed, Jan 3",@ IND,"L, 130-142",10,2,3,66.7,1,2,50.0,2,3,66.7,0,1,1,2,0,0,0,3,7
