Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. PHO,"L, 136-120",33,11,19,57.9,1,4,25.0,2,2,100.0,2,0,2,4,2,2,0,2,25
"Mon, Jan 29",vs. UTH,"W, 114-147",31,8,16,50.0,4,5,80.0,5,5,100.0,1,6,7,0,2,1,1,3,25
"Sat, Jan 27",vs. HOU,"W, 104-106",41,11,19,57.9,3,6,50.0,12,15,80.0,0,3,3,3,5,1,0,4,37
"Thu, Jan 25",vs. MIN,"L, 96-94",28,7,15,46.7,1,4,25.0,10,10,100.0,0,6,6,3,5,2,0,0,25
"Tue, Jan 23",vs. NYK,"L, 108-103",22,6,11,54.5,0,3,0.0,2,2,100.0,0,1,1,2,1,0,1,3,14
"Sun, Jan 21",@ LAC,"L, 114-125",27,8,17,47.1,1,5,20.0,3,4,75.0,0,2,2,6,4,0,0,2,20
"Fri, Jan 19",@ LAL,"W, 130-112",32,13,18,72.2,4,7,57.1,3,4,75.0,0,3,3,4,1,1,0,2,33
"Wed, Jan 17",@ POR,"L, 103-105",22,2,7,28.6,2,4,50.0,2,2,100.0,0,0,0,4,1,0,0,0,8
"Mon, Jan 15",vs. MIA,"L, 96-95",32,7,20,35.0,2,10,20.0,7,7,100.0,0,2,2,3,2,0,0,2,23
"Thu, Jan 11",@ CLE,"L, 102-111",35,9,21,42.9,1,5,20.0,7,11,63.6,0,6,6,2,0,0,1,3,26
"Sun, Jan 7",vs. POR,"L, 134-127",18,4,9,44.4,1,3,33.3,0,0,0.0,0,3,3,0,1,0,0,0,9
