Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DEN,"W, 100-105",20,2,7,28.6,1,3,33.3,0,0,0.0,1,1,2,1,0,0,0,3,5
"Mon, Jan 29",vs. MIN,"L, 107-101",20,1,1,100.0,1,1,100.0,0,0,0.0,0,2,2,2,0,0,1,6,3
"Sun, Jan 28",@ DET,"L, 104-120",21,2,4,50.0,0,1,0.0,0,0,0.0,1,3,4,1,0,2,0,1,4
"Fri, Jan 26",@ NOR,"W, 107-83",21,5,10,50.0,2,5,40.0,0,0,0.0,1,1,2,1,0,4,0,1,12
"Wed, Jan 24",@ SAS,"W, 140-114",23,5,7,71.4,2,3,66.7,1,1,100.0,1,2,3,4,0,1,0,4,13
"Tue, Jan 23",vs. POR,"W, 109-111",12,1,2,50.0,1,2,50.0,0,0,0.0,0,4,4,0,2,0,0,0,3
"Sat, Jan 20",@ MIN,"W, 102-97",13,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,0,1,1,0,2,0
"Thu, Jan 18",@ UTH,"W, 134-129",32,6,7,85.7,4,5,80.0,0,0,0.0,2,2,4,1,1,1,1,3,16
"Tue, Jan 16",@ LAC,"L, 117-128",15,2,4,50.0,1,2,50.0,0,0,0.0,2,0,2,1,0,1,1,1,5
"Mon, Jan 15",@ LAL,"L, 105-112",20,2,6,33.3,1,4,25.0,0,0,0.0,0,0,0,1,1,2,1,0,5
"Sat, Jan 13",vs. ORL,"W, 100-112",20,0,5,0.0,0,4,0.0,1,2,50.0,2,1,3,0,0,0,0,3,1
