Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ BKN,"W, 136-120",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sun, Jan 28",@ ORL,"L, 98-113",7,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,1,0,1,0
"Fri, Jan 26",@ IND,"L, 131-133",2,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Wed, Jan 24",@ DAL,"W, 132-109",14,1,1,100.0,0,0,0.0,0,0,0.0,1,6,7,1,0,0,0,1,2
"Sun, Jan 21",vs. IND,"W, 110-117",7,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,1,0,1,0,2,2
"Fri, Jan 19",@ NOR,"W, 123-109",14,0,4,0.0,0,1,0.0,2,2,100.0,1,3,4,1,1,0,1,2,2
"Tue, Jan 16",vs. SAC,"W, 117-119",10,3,5,60.0,0,1,0.0,0,0,0.0,0,5,5,1,1,0,0,1,6
"Sun, Jan 14",@ POR,"W, 127-116",17,3,3,100.0,1,1,100.0,1,2,50.0,0,3,3,0,0,1,2,3,8
"Thu, Jan 11",@ LAL,"W, 127-109",9,0,0,0.0,0,0,0.0,4,4,100.0,1,1,2,1,0,0,0,0,4
"Mon, Jan 8",@ LAC,"L, 111-138",8,1,1,100.0,0,0,0.0,2,2,100.0,0,2,2,0,0,0,1,1,4
"Sun, Jan 7",vs. MEM,"L, 121-115",12,2,7,28.6,0,5,0.0,0,0,0.0,0,1,1,0,1,1,0,3,4
