Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Jan 25",@ GSW,"W, 134-133",3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Fri, Jan 12",@ PHI,"L, 93-112",10,0,2,0.0,0,1,0.0,1,2,50.0,1,2,3,0,1,0,0,1,1
"Wed, Jan 10",@ CHA,"W, 123-98",14,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,2,0
"Sun, Jan 7",vs. NOR,"L, 133-100",15,0,3,0.0,0,2,0.0,1,2,50.0,0,0,0,1,0,0,0,0,1
"Fri, Jan 5",vs. TOR,"W, 130-135",16,4,6,66.7,2,3,66.7,0,0,0.0,0,0,0,1,1,0,0,2,10
"Wed, Jan 3",vs. ORL,"W, 135-138",10,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,2,1,0,3,0
"Tue, Jan 2",vs. CHA,"L, 111-104",30,5,11,45.5,2,4,50.0,0,0,0.0,4,3,7,4,1,1,0,1,12
"Sun, Dec 31",@ MEM,"W, 123-92",26,2,6,33.3,1,2,50.0,2,2,100.0,1,5,6,0,1,0,0,2,7
"Fri, Dec 29",@ ATL,"W, 117-110",25,2,5,40.0,1,3,33.3,0,0,0.0,0,0,0,4,1,1,0,1,5
"Tue, Dec 26",@ POR,"L, 113-130",8,2,2,100.0,0,0,0.0,0,0,0.0,0,3,3,1,0,1,0,0,4
"Sat, Dec 23",vs. MIN,"L, 110-98",18,1,3,33.3,1,3,33.3,0,0,0.0,1,3,4,0,1,2,0,1,3
