Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ OKC,"L, 100-105",16,4,7,57.1,2,4,50.0,0,0,0.0,1,4,5,0,0,1,0,0,10
"Mon, Jan 29",vs. MIL,"W, 107-113",17,0,1,0.0,0,0,0.0,0,0,0.0,2,4,6,1,0,0,0,2,0
"Sat, Jan 27",vs. PHI,"W, 105-111",17,0,2,0.0,0,1,0.0,2,2,100.0,0,0,0,2,0,0,0,2,2
"Thu, Jan 25",@ NYK,"L, 84-122",15,1,4,25.0,0,1,0.0,2,2,100.0,1,2,3,0,1,0,0,1,4
"Tue, Jan 23",@ IND,"W, 114-109",15,1,3,33.3,0,2,0.0,0,0,0.0,3,1,4,0,0,1,1,0,2
"Sun, Jan 21",@ WAS,"W, 113-104",21,1,3,33.3,0,0,0.0,0,0,0.0,2,4,6,2,1,0,1,3,2
"Fri, Jan 19",@ BOS,"W, 102-100",5,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Tue, Jan 16",@ PHI,"L, 121-126",18,3,5,60.0,2,3,66.7,3,3,100.0,0,4,4,0,0,0,1,3,11
"Sun, Jan 14",vs. IND,"W, 109-117",15,1,5,20.0,0,1,0.0,0,2,0.0,0,2,2,0,0,0,0,1,2
"Fri, Jan 12",vs. NOR,"W, 113-125",17,1,4,25.0,1,4,25.0,1,2,50.0,1,5,6,0,3,0,0,2,4
"Wed, Jan 10",@ UTH,"L, 111-124",17,2,4,50.0,1,2,50.0,0,0,0.0,0,3,3,1,1,1,0,1,5
