Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Sat, Jan 27",@ MIL,"L, 117-141",7,0,1,0.0,0,0,0.0,1,2,50.0,0,3,3,0,0,0,0,0,1
"Fri, Jan 26",vs. OKC,"L, 107-83",3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Tue, Jan 23",vs. UTH,"W, 124-153",5,1,1,100.0,0,0,0.0,0,0,0.0,2,2,4,2,0,0,0,2,2
"Fri, Jan 19",vs. PHO,"L, 123-109",4,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,1,0,0
"Wed, Jan 17",vs. CHA,"W, 112-132",3,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0
"Wed, Jan 10",@ GSW,"W, 141-105",8,3,3,100.0,0,0,0.0,0,0,0.0,2,1,3,1,1,0,0,2,6
"Sun, Jan 7",@ SAC,"W, 133-100",7,2,3,66.7,1,1,100.0,2,2,100.0,1,1,2,1,2,0,0,0,7
"Fri, Jan 5",vs. LAC,"L, 111-95",6,0,1,0.0,0,1,0.0,1,2,50.0,1,2,3,2,0,0,0,3,1
"Wed, Jan 3",@ MIN,"W, 117-106",2,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0
"Tue, Jan 2",vs. BKN,"W, 85-112",8,1,3,33.3,0,0,0.0,2,3,66.7,1,1,2,0,0,0,0,2,4
"Tue, Dec 19",vs. MEM,"L, 115-113",13,1,3,33.3,0,0,0.0,2,2,100.0,4,2,6,1,1,0,1,1,4
