Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Fri, Jan 12",@ PHI,"L, 93-112",9,0,4,0.0,0,1,0.0,0,0,0.0,1,2,3,3,1,1,0,3,0
"Wed, Jan 10",@ CHA,"W, 123-98",14,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0
"Sun, Jan 7",vs. NOR,"L, 133-100",10,2,5,40.0,0,2,0.0,0,0,0.0,0,1,1,4,0,1,0,1,4
"Sat, Dec 23",vs. MIN,"L, 110-98",2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Mon, Dec 18",vs. WAS,"W, 131-143",4,1,3,33.3,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2
"Mon, Dec 11",vs. BKN,"W, 118-131",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
"Wed, Nov 29",vs. LAC,"L, 131-117",1,1,2,50.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,0,0,2
"Mon, Nov 20",@ NOR,"L, 93-129",14,4,8,50.0,0,2,0.0,0,1,0.0,0,1,1,0,0,1,0,2,8
"Sun, Nov 19",@ DAL,"W, 129-113",4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0
"Mon, Nov 13",vs. CLE,"W, 120-132",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Mon, Nov 6",@ HOU,"L, 97-122",13,4,6,66.7,0,0,0.0,2,2,100.0,3,2,5,1,0,0,0,1,10
