Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. PHI,"L, 127-124",25,8,14,57.1,2,4,50.0,4,4,100.0,0,1,1,6,3,1,1,2,22
"Tue, Jan 30",@ NYK,"L, 103-118",28,7,13,53.8,2,4,50.0,6,8,75.0,2,1,3,7,2,0,0,2,22
"Mon, Jan 29",@ BKN,"L, 114-147",24,1,10,10.0,0,2,0.0,4,4,100.0,0,1,1,7,2,0,0,1,6
"Sat, Jan 27",@ CHA,"W, 134-122",35,9,19,47.4,3,7,42.9,3,5,60.0,2,2,4,13,3,2,0,0,24
"Thu, Jan 25",@ WAS,"W, 123-108",17,4,11,36.4,1,2,50.0,2,2,100.0,1,2,3,6,2,1,0,2,11
"Tue, Jan 23",@ NOR,"L, 124-153",24,9,12,75.0,2,4,50.0,2,3,66.7,0,3,3,7,1,0,1,0,22
"Sat, Jan 20",@ HOU,"L, 126-127",40,11,27,40.7,2,7,28.6,4,4,100.0,3,0,3,5,2,2,0,4,28
"Thu, Jan 18",vs. OKC,"L, 134-129",34,10,19,52.6,4,7,57.1,7,10,70.0,1,0,1,7,2,1,0,4,31
"Mon, Jan 15",vs. IND,"W, 105-132",24,11,17,64.7,4,5,80.0,4,4,100.0,1,2,3,5,1,0,0,2,30
"Sat, Jan 13",vs. LAL,"W, 125-132",28,8,13,61.5,1,4,25.0,10,10,100.0,1,3,4,5,1,0,0,5,27
"Fri, Jan 12",vs. TOR,"W, 113-145",20,5,10,50.0,3,3,100.0,7,8,87.5,0,2,2,5,2,2,0,0,20
