Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ BOS,"W, 114-105",39,5,20,25.0,4,8,50.0,2,4,50.0,2,6,8,14,1,2,0,1,16
"Tue, Jan 30",@ ATL,"L, 122-138",27,3,11,27.3,1,5,20.0,2,2,100.0,0,1,1,5,2,0,0,2,9
"Mon, Jan 29",@ HOU,"L, 119-135",41,8,19,42.1,3,12,25.0,4,5,80.0,0,1,1,5,1,1,0,0,23
"Sat, Jan 27",@ GSW,"W, 145-144",49,8,19,42.1,5,8,62.5,7,7,100.0,1,2,3,5,4,2,1,4,28
"Thu, Jan 25",vs. CHI,"W, 132-141",38,10,18,55.6,8,13,61.5,1,2,50.0,0,0,0,4,2,1,1,3,29
"Tue, Jan 23",@ LAC,"L, 116-127",40,9,21,42.9,4,10,40.0,5,6,83.3,2,3,5,10,5,0,1,3,27
"Sun, Jan 21",vs. POR,"W, 110-134",34,14,21,66.7,6,11,54.5,0,0,0.0,1,0,1,8,0,0,2,2,34
"Fri, Jan 19",vs. BKN,"L, 130-112",35,7,14,50.0,3,5,60.0,3,3,100.0,0,1,1,7,2,1,0,4,20
"Wed, Jan 17",vs. DAL,"W, 110-127",36,11,20,55.0,5,7,71.4,2,2,100.0,1,3,4,3,1,0,0,0,29
"Mon, Jan 15",vs. OKC,"W, 105-112",36,5,12,41.7,2,7,28.6,2,2,100.0,1,1,2,6,5,2,1,2,14
"Sat, Jan 13",@ UTH,"L, 125-132",41,15,26,57.7,6,11,54.5,3,3,100.0,0,3,3,8,3,1,2,3,39
