Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ WAS,"W, 125-109",20,2,5,40.0,0,1,0.0,0,0,0.0,1,1,2,0,0,1,1,3,4
"Mon, Jan 29",@ CLE,"L, 108-118",17,0,1,0.0,0,1,0.0,0,0,0.0,1,3,4,5,1,0,0,3,0
"Sat, Jan 27",@ BOS,"W, 115-96",26,8,9,88.9,2,3,66.7,0,1,0.0,1,6,7,2,0,1,2,4,18
"Fri, Jan 26",@ TOR,"W, 127-107",18,3,4,75.0,0,0,0.0,0,0,0.0,2,2,4,1,2,0,0,1,6
"Tue, Jan 23",vs. LAL,"W, 116-127",21,1,3,33.3,0,2,0.0,1,1,100.0,1,1,2,2,0,1,0,5,3
"Sun, Jan 21",vs. BKN,"W, 114-125",17,4,6,66.7,0,1,0.0,0,0,0.0,2,1,3,1,1,0,2,1,8
"Tue, Jan 16",vs. OKC,"W, 117-128",20,4,6,66.7,1,2,50.0,0,0,0.0,5,3,8,0,2,0,3,3,9
"Sun, Jan 14",@ MIN,"L, 105-109",22,1,3,33.3,1,2,50.0,0,0,0.0,1,3,4,0,0,1,0,3,3
"Fri, Jan 12",@ MEM,"W, 128-119",22,2,4,50.0,1,1,100.0,2,4,50.0,2,3,5,4,0,2,3,2,7
"Wed, Jan 10",vs. TOR,"W, 120-126",16,1,2,50.0,0,0,0.0,2,2,100.0,2,2,4,1,1,1,1,1,4
"Mon, Jan 8",vs. PHO,"W, 111-138",14,3,6,50.0,0,1,0.0,0,0,0.0,2,1,3,3,1,1,1,3,6
