Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ CLE,"L, 121-128",23,6,8,75.0,4,4,100.0,4,5,80.0,0,3,3,2,0,1,0,1,20
"Mon, Jan 22",vs. MIL,"L, 122-113",10,3,4,75.0,1,1,100.0,2,3,66.7,0,3,3,2,0,0,0,2,9
"Sat, Jan 20",vs. MIL,"L, 141-135",16,1,1,100.0,1,1,100.0,5,5,100.0,0,1,1,3,0,0,0,0,8
"Wed, Dec 27",vs. TOR,"L, 132-102",5,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Tue, Dec 26",vs. ORL,"L, 127-119",16,2,5,40.0,1,3,33.3,4,5,80.0,1,2,3,1,1,0,0,2,9
"Thu, Dec 21",@ POR,"W, 118-117",13,1,3,33.3,1,2,50.0,1,2,50.0,0,2,2,0,0,0,0,0,4
"Sun, Dec 17",@ PHO,"L, 108-112",12,1,2,50.0,1,2,50.0,3,3,100.0,0,1,1,0,0,1,0,0,6
"Fri, Dec 15",vs. IND,"W, 123-137",10,1,2,50.0,0,1,0.0,2,2,100.0,1,4,5,1,0,0,0,0,4
"Wed, Dec 13",vs. NOR,"L, 142-122",16,2,6,33.3,1,3,33.3,4,4,100.0,0,1,1,1,1,0,0,0,9
"Mon, Dec 11",@ PHI,"L, 101-146",11,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,0,2,0,0,2,2
"Fri, Dec 8",@ BKN,"L, 97-124",19,2,9,22.2,0,5,0.0,0,0,0.0,0,2,2,1,0,0,0,3,4
