Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ UTH,"W, 127-124",19,1,2,50.0,0,1,0.0,3,3,100.0,1,1,2,3,0,1,1,2,5
"Tue, Jan 30",@ GSW,"L, 107-119",29,1,4,25.0,1,3,33.3,4,4,100.0,1,0,1,0,0,2,0,2,7
"Mon, Jan 29",@ POR,"L, 104-130",16,0,1,0.0,0,1,0.0,2,2,100.0,0,1,1,2,0,0,0,1,2
"Sat, Jan 27",@ DEN,"L, 105-111",28,3,7,42.9,0,3,0.0,0,1,0.0,1,2,3,0,0,2,1,4,6
"Thu, Jan 25",@ IND,"L, 122-134",19,4,6,66.7,0,0,0.0,2,3,66.7,1,1,2,1,2,2,1,2,10
"Mon, Jan 22",vs. SAS,"W, 123-133",23,2,4,50.0,1,3,33.3,3,6,50.0,0,2,2,1,0,0,0,0,8
"Sat, Jan 20",@ CHA,"W, 97-89",27,3,4,75.0,1,1,100.0,2,3,66.7,0,3,3,0,2,1,1,3,9
"Fri, Jan 19",@ ORL,"W, 124-109",11,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0
"Mon, Jan 15",vs. HOU,"W, 115-124",18,2,4,50.0,1,1,100.0,1,1,100.0,2,3,5,1,0,0,0,4,6
"Fri, Jan 12",vs. SAC,"W, 93-112",14,1,2,50.0,0,1,0.0,2,2,100.0,0,2,2,1,0,0,0,3,4
"Fri, Jan 5",vs. NYK,"L, 128-92",22,1,3,33.3,0,1,0.0,0,0,0.0,0,4,4,1,0,1,0,1,2
