Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",vs. PHI,"W, 107-119",17,0,2,0.0,0,1,0.0,2,2,100.0,0,2,2,7,1,0,1,3,2
"Sat, Jan 27",vs. LAL,"L, 145-144",15,2,8,25.0,1,3,33.3,0,0,0.0,2,2,4,2,2,1,0,3,5
"Thu, Jan 25",vs. SAC,"L, 134-133",20,5,6,83.3,4,4,100.0,0,0,0.0,2,2,4,5,2,0,0,2,14
"Wed, Jan 24",vs. ATL,"W, 112-134",16,4,6,66.7,2,3,66.7,0,0,0.0,1,2,3,3,0,1,0,0,10
"Mon, Jan 15",@ MEM,"L, 107-116",23,3,6,50.0,3,5,60.0,4,4,100.0,0,7,7,3,4,0,1,5,13
"Sat, Jan 13",@ MIL,"L, 118-129",34,5,9,55.6,1,5,20.0,1,2,50.0,0,6,6,6,3,1,0,1,12
"Fri, Jan 12",@ CHI,"W, 140-131",28,4,6,66.7,2,3,66.7,2,4,50.0,1,6,7,6,0,2,0,2,12
"Wed, Jan 10",vs. NOR,"L, 141-105",14,1,3,33.3,0,2,0.0,2,2,100.0,1,2,3,3,2,1,0,2,4
"Sun, Jan 7",vs. TOR,"L, 133-118",18,4,10,40.0,2,5,40.0,1,1,100.0,2,3,5,4,0,2,0,1,11
"Fri, Jan 5",vs. DET,"W, 109-113",22,6,10,60.0,3,5,60.0,2,2,100.0,0,3,3,1,1,0,0,3,17
"Thu, Jan 4",vs. DEN,"L, 130-127",23,5,7,71.4,1,2,50.0,2,2,100.0,1,6,7,6,2,1,0,1,13
