Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ MEM,"W, 108-101",24,4,10,40.0,1,3,33.3,0,0,0.0,0,2,2,7,3,1,0,0,9
"Wed, Jan 31",vs. DET,"W, 121-128",20,7,12,58.3,2,6,33.3,3,3,100.0,0,0,0,3,1,2,0,1,19
"Thu, Dec 14",@ BOS,"L, 107-116",36,8,19,42.1,3,7,42.9,0,0,0.0,1,1,2,3,5,2,0,2,19
"Tue, Dec 12",@ BOS,"L, 113-120",38,11,23,47.8,4,8,50.0,0,0,0.0,0,2,2,7,2,1,0,1,26
"Mon, Dec 11",@ ORL,"L, 94-104",39,11,23,47.8,3,9,33.3,11,12,91.7,1,5,6,5,3,2,0,0,36
"Fri, Dec 8",@ MIA,"W, 111-99",26,6,11,54.5,1,4,25.0,5,7,71.4,0,2,2,6,2,4,0,4,18
"Wed, Dec 6",vs. ORL,"W, 111-121",40,10,18,55.6,1,4,25.0,5,5,100.0,2,1,3,9,0,0,0,1,26
"Sat, Dec 2",@ DET,"W, 110-101",34,9,23,39.1,2,7,28.6,2,3,66.7,0,2,2,5,2,3,1,1,22
"Thu, Nov 30",vs. POR,"L, 103-95",37,6,18,33.3,2,8,25.0,1,1,100.0,1,3,4,7,8,1,0,0,15
"Tue, Nov 28",vs. ATL,"W, 105-128",38,7,15,46.7,2,5,40.0,3,4,75.0,1,1,2,8,2,2,0,1,19
"Sun, Nov 26",vs. TOR,"W, 102-105",41,10,16,62.5,3,6,50.0,1,1,100.0,0,2,2,8,5,0,0,2,24
