Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. CLE,"L, 108-101",18,1,12,8.3,0,2,0.0,0,0,0.0,0,4,4,3,0,1,0,2,2
"Mon, Jan 29",vs. SAC,"L, 103-94",35,3,9,33.3,0,4,0.0,3,5,60.0,2,8,10,2,4,1,0,0,9
"Sun, Jan 28",@ IND,"L, 110-116",32,5,13,38.5,2,7,28.6,2,2,100.0,1,4,5,1,0,1,1,4,14
"Fri, Jan 26",vs. ORL,"W, 106-107",17,1,4,25.0,0,1,0.0,1,2,50.0,3,7,10,3,1,0,0,2,3
"Wed, Jan 24",@ MIA,"W, 105-96",32,4,11,36.4,2,4,50.0,0,0,0.0,2,1,3,4,3,2,1,2,10
"Mon, Jan 22",@ TOR,"W, 108-100",23,4,12,33.3,0,0,0.0,0,0,0.0,6,3,9,2,1,0,0,1,8
"Sat, Jan 20",@ CHI,"L, 96-125",32,5,11,45.5,1,5,20.0,0,0,0.0,0,2,2,3,1,0,0,3,11
"Thu, Jan 18",@ MIN,"L, 103-118",23,2,7,28.6,1,2,50.0,3,4,75.0,1,3,4,1,0,0,0,2,8
"Mon, Jan 15",vs. GSW,"W, 107-116",21,5,12,41.7,2,4,50.0,0,0,0.0,3,4,7,2,2,0,0,1,12
"Sat, Jan 13",vs. NYK,"L, 106-94",35,6,12,50.0,2,4,50.0,0,0,0.0,1,3,4,1,2,2,0,4,14
"Fri, Jan 12",vs. LAC,"L, 128-119",27,7,11,63.6,3,5,60.0,0,0,0.0,1,5,6,4,2,1,0,3,17
