Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DEN,"W, 100-105",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Jan 24",@ SAS,"W, 140-114",5,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,1,0,0,3
"Tue, Jan 23",vs. POR,"W, 109-111",3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0
"Fri, Jan 5",@ BKN,"L, 115-124",1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Dec 27",vs. NYK,"W, 120-129",1,1,2,50.0,1,1,100.0,0,0,0.0,1,0,1,0,0,0,0,0,3
"Sat, Dec 23",vs. LAL,"L, 129-120",10,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,0,3
"Thu, Dec 14",@ SAC,"L, 123-128",5,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,1,1,0,0,1,0
"Mon, Dec 11",vs. UTH,"W, 120-134",9,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,1,0,0,1,1,3
"Fri, Dec 8",vs. GSW,"W, 136-138",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sat, Dec 2",@ DAL,"W, 126-120",11,3,3,100.0,3,3,100.0,6,6,100.0,0,1,1,1,0,1,0,3,15
"Sat, Nov 25",vs. PHI,"L, 127-123",10,1,3,33.3,1,2,50.0,2,3,66.7,0,1,1,1,0,0,0,2,5
