Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIA,"L, 106-115",37,4,16,25.0,1,8,12.5,4,6,66.7,0,5,5,3,2,2,0,3,13
"Mon, Jan 29",@ MEM,"W, 103-94",34,8,14,57.1,1,4,25.0,6,10,60.0,1,4,5,4,3,2,0,1,23
"Sat, Jan 27",@ DAL,"W, 120-115",37,13,24,54.2,1,5,20.0,7,8,87.5,1,2,3,5,2,2,2,3,34
"Thu, Jan 25",@ GSW,"W, 134-133",36,9,16,56.3,3,7,42.9,8,8,100.0,0,1,1,5,1,1,1,3,29
"Mon, Jan 22",vs. ATL,"W, 107-122",35,5,16,31.3,0,5,0.0,2,3,66.7,0,3,3,1,1,1,0,1,12
"Thu, Jan 18",vs. IND,"L, 126-121",40,8,20,40.0,3,7,42.9,5,9,55.6,1,5,6,6,1,1,0,2,24
"Tue, Jan 16",@ PHO,"L, 117-119",37,12,24,50.0,6,10,60.0,3,5,60.0,1,1,2,6,1,2,0,2,33
"Sun, Jan 14",@ MIL,"L, 142-143",43,12,26,46.2,2,6,33.3,6,7,85.7,1,1,2,5,4,3,0,4,32
"Fri, Jan 12",@ PHI,"L, 93-112",38,5,15,33.3,2,7,28.6,9,11,81.8,1,4,5,4,2,1,0,2,21
"Wed, Jan 10",@ CHA,"W, 123-98",28,8,14,57.1,3,7,42.9,0,2,0.0,0,1,1,3,1,1,1,0,19
"Tue, Jan 9",@ DET,"W, 131-110",33,10,19,52.6,4,7,57.1,2,2,100.0,0,3,3,4,5,2,0,2,26
