Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. LAC,"L, 125-109",14,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4
"Mon, Jan 29",@ SAS,"W, 118-113",9,2,3,66.7,1,1,100.0,0,0,0.0,0,2,2,1,0,0,0,0,5
"Sat, Jan 27",@ DET,"W, 118-104",11,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,3,0,1,0,0,2
"Thu, Jan 25",vs. UTH,"L, 123-108",5,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0
"Wed, Jan 24",vs. MIN,"L, 118-107",9,2,6,33.3,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,1,4
"Sun, Jan 21",vs. DEN,"L, 113-104",17,3,5,60.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,1,1,6
"Sat, Jan 20",vs. SAS,"L, 131-127",20,2,5,40.0,0,1,0.0,2,2,100.0,1,3,4,4,0,3,1,0,6
"Thu, Jan 18",@ NYK,"L, 109-113",11,1,5,20.0,1,1,100.0,2,2,100.0,0,2,2,1,0,1,0,1,5
"Mon, Jan 15",vs. DET,"L, 129-117",16,2,6,33.3,1,2,50.0,0,0,0.0,1,0,1,4,0,1,0,2,5
"Sat, Jan 13",@ ATL,"W, 127-99",22,3,7,42.9,2,3,66.7,0,0,0.0,1,1,2,4,0,2,1,1,8
"Wed, Jan 10",@ IND,"L, 104-112",14,1,4,25.0,0,1,0.0,1,4,25.0,1,0,1,2,0,0,0,1,3
