Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ CHA,"W, 117-110",38,4,10,40.0,1,2,50.0,6,8,75.0,0,4,4,3,2,0,1,2,15
"Tue, Jan 30",vs. TOR,"L, 118-107",42,8,17,47.1,0,5,0.0,9,12,75.0,1,1,2,5,5,3,4,1,25
"Sun, Jan 28",@ POR,"W, 104-96",40,8,14,57.1,1,2,50.0,3,3,100.0,0,7,7,6,0,1,0,2,20
"Thu, Jan 25",@ LAL,"L, 132-141",41,10,14,71.4,1,1,100.0,11,12,91.7,0,2,2,10,3,2,0,2,32
"Mon, Jan 22",@ PHO,"L, 113-115",40,8,17,47.1,1,3,33.3,4,6,66.7,1,4,5,3,2,1,0,3,21
"Sat, Jan 20",vs. MEM,"W, 96-125",37,7,20,35.0,1,4,25.0,3,4,75.0,1,3,4,8,1,1,1,0,18
"Thu, Jan 18",@ TOR,"W, 116-110",38,9,20,45.0,0,4,0.0,6,7,85.7,1,6,7,6,2,1,0,2,24
"Mon, Jan 15",@ CLE,"L, 91-109",38,3,8,37.5,0,1,0.0,0,0,0.0,0,6,6,3,2,2,1,3,6
"Sat, Jan 13",@ SAS,"W, 122-116",34,8,19,42.1,2,5,40.0,2,2,100.0,0,4,4,4,0,0,0,1,20
"Fri, Jan 12",vs. GSW,"L, 140-131",41,15,21,71.4,2,5,40.0,7,8,87.5,1,6,7,5,1,0,0,5,39
"Wed, Jan 10",vs. HOU,"W, 119-124",43,5,19,26.3,3,6,50.0,6,6,100.0,0,4,4,4,1,0,0,2,19
