Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. PHO,"L, 136-120",19,2,5,40.0,0,1,0.0,0,0,0.0,3,2,5,2,0,1,0,2,4
"Mon, Jan 29",vs. UTH,"W, 114-147",15,5,8,62.5,0,2,0.0,2,2,100.0,1,1,2,5,1,2,0,2,12
"Sat, Jan 27",vs. HOU,"W, 104-106",18,2,4,50.0,0,1,0.0,1,2,50.0,1,2,3,4,1,2,0,2,5
"Thu, Jan 25",vs. MIN,"L, 96-94",16,0,4,0.0,0,0,0.0,0,0,0.0,2,0,2,2,1,0,0,1,0
"Tue, Jan 23",vs. NYK,"L, 108-103",29,4,9,44.4,0,1,0.0,0,0,0.0,0,5,5,5,5,2,1,5,8
"Sun, Jan 21",@ LAC,"L, 114-125",18,6,8,75.0,1,2,50.0,0,0,0.0,1,2,3,1,2,0,0,2,13
"Fri, Jan 19",@ LAL,"W, 130-112",17,4,7,57.1,2,4,50.0,1,1,100.0,1,1,2,5,2,3,0,2,11
"Wed, Jan 17",@ POR,"L, 103-105",14,1,4,25.0,0,1,0.0,0,0,0.0,2,1,3,2,1,2,0,1,2
"Mon, Jan 15",vs. MIA,"L, 96-95",32,3,8,37.5,1,4,25.0,1,2,50.0,1,4,5,5,2,4,1,2,8
"Thu, Jan 11",@ CLE,"L, 102-111",23,1,2,50.0,0,0,0.0,0,0,0.0,1,3,4,5,1,0,1,1,2
"Sun, Jan 7",vs. POR,"L, 134-127",29,3,8,37.5,0,1,0.0,4,4,100.0,0,2,2,10,1,2,1,6,10
