Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 29",vs. ORL,"W, 129-131",41,8,9,88.9,0,0,0.0,4,9,44.4,3,8,11,1,2,1,1,5,20
"Sat, Jan 27",vs. SAC,"L, 120-115",31,6,9,66.7,0,0,0.0,1,2,50.0,4,5,9,0,1,1,0,5,13
"Fri, Jan 26",@ ATL,"W, 148-143",28,4,7,57.1,0,0,0.0,1,2,50.0,2,9,11,4,1,1,4,5,9
"Wed, Jan 24",vs. PHO,"L, 132-109",25,4,5,80.0,0,0,0.0,0,0,0.0,1,1,2,1,0,1,1,2,8
"Mon, Jan 22",vs. BOS,"L, 119-110",25,3,3,100.0,0,0,0.0,0,0,0.0,4,4,8,1,1,0,2,2,6
"Wed, Jan 17",@ LAL,"L, 110-127",28,8,9,88.9,0,0,0.0,0,0,0.0,5,6,11,2,2,1,0,2,16
"Mon, Jan 15",vs. NOR,"W, 120-125",26,2,2,100.0,0,0,0.0,2,2,100.0,7,5,12,1,2,0,0,4,6
"Wed, Jan 3",vs. POR,"W, 97-126",19,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,4,0,2,3,1,0
"Mon, Jan 1",@ UTH,"L, 90-127",25,5,8,62.5,0,0,0.0,0,0,0.0,2,4,6,2,0,1,1,1,10
"Sat, Dec 30",@ GSW,"W, 132-122",35,5,7,71.4,0,0,0.0,2,3,66.7,1,13,14,1,1,0,0,2,12
"Thu, Dec 28",@ MIN,"L, 110-118",15,1,4,25.0,0,0,0.0,0,0,0.0,3,1,4,2,2,0,0,5,2
