Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 2",vs. SAS,"W, 98-106",9,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,4
"Sun, Dec 31",vs. SAC,"L, 123-92",12,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,3,1,0,0,0,2
"Fri, Dec 15",vs. HOU,"L, 103-96",9,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,0,3
"Wed, Dec 13",@ HOU,"L, 104-117",31,7,14,50.0,1,4,25.0,4,4,100.0,1,3,4,6,1,0,1,4,19
"Mon, Dec 11",vs. DAL,"L, 120-113",17,2,7,28.6,1,3,33.3,2,2,100.0,0,3,3,4,2,0,0,1,7
"Fri, Dec 8",vs. MIN,"L, 127-103",22,2,7,28.6,0,1,0.0,2,2,100.0,0,1,1,7,1,0,0,1,6
"Wed, Dec 6",@ DET,"W, 116-102",15,2,7,28.6,0,1,0.0,0,0,0.0,0,1,1,2,5,2,0,1,4
"Fri, Dec 1",@ DAL,"W, 108-94",20,3,7,42.9,0,2,0.0,0,0,0.0,0,2,2,3,1,1,0,3,6
"Wed, Nov 29",vs. UTH,"W, 91-105",27,7,11,63.6,0,3,0.0,0,0,0.0,0,4,4,9,1,0,0,2,14
"Sun, Nov 26",vs. MIN,"L, 119-97",20,5,12,41.7,0,2,0.0,2,2,100.0,2,0,2,4,1,1,0,2,12
"Fri, Nov 24",vs. PHO,"L, 110-89",22,8,9,88.9,1,1,100.0,0,0,0.0,0,2,2,1,1,1,0,0,17
