Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. ORL,"L, 108-98",37,8,18,44.4,3,8,37.5,7,10,70.0,0,4,4,4,1,0,1,1,26
"Mon, Jan 29",vs. WAS,"L, 118-113",35,9,19,47.4,1,5,20.0,5,6,83.3,1,4,5,4,5,0,1,1,24
"Sat, Jan 27",vs. MIN,"W, 112-113",36,11,17,64.7,3,6,50.0,0,0,0.0,0,4,4,5,2,2,0,2,25
"Fri, Jan 26",vs. POR,"W, 100-116",32,5,14,35.7,2,7,28.6,3,5,60.0,0,4,4,2,1,0,0,1,15
"Wed, Jan 24",vs. OKC,"L, 140-114",34,9,14,64.3,1,4,25.0,2,2,100.0,1,4,5,7,0,0,1,1,21
"Mon, Jan 22",@ PHI,"L, 123-133",38,7,13,53.8,2,6,33.3,6,6,100.0,0,4,4,9,1,0,0,3,22
"Sat, Jan 20",@ WAS,"W, 131-127",34,8,14,57.1,4,6,66.7,1,3,33.3,0,5,5,5,4,1,0,1,21
"Fri, Jan 19",@ CHA,"L, 120-124",36,6,13,46.2,4,8,50.0,1,2,50.0,0,5,5,7,2,2,0,1,17
"Wed, Jan 17",@ BOS,"L, 98-117",32,7,15,46.7,0,5,0.0,7,8,87.5,0,2,2,3,1,1,0,1,21
"Mon, Jan 15",@ ATL,"L, 99-109",30,2,11,18.2,0,5,0.0,0,0,0.0,1,3,4,4,0,0,1,0,4
"Sat, Jan 13",vs. CHI,"L, 122-116",34,1,13,7.7,1,8,12.5,2,3,66.7,0,4,4,2,2,1,0,0,5
