Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 24",vs. OKC,"L, 140-114",5,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,0,0,3
"Wed, Jan 17",@ BOS,"L, 98-117",5,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Fri, Jan 12",vs. CHA,"W, 99-135",10,3,5,60.0,2,4,50.0,0,0,0.0,0,0,0,2,0,1,0,1,8
"Sun, Dec 31",vs. BOS,"L, 134-101",8,3,4,75.0,2,2,100.0,1,1,100.0,1,1,2,1,1,0,0,0,9
"Sat, Dec 23",@ DAL,"L, 119-144",8,0,3,0.0,0,2,0.0,0,0,0.0,0,5,5,0,0,0,0,0,0
"Sun, Dec 17",vs. NOR,"L, 146-110",7,2,3,66.7,2,3,66.7,1,2,50.0,0,0,0,2,0,0,0,1,7
"Fri, Dec 15",vs. LAL,"W, 115-129",10,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,0,0
"Sun, Nov 26",@ DEN,"L, 120-132",7,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,3,0,0,0,0,2
"Tue, Nov 14",@ OKC,"L, 87-123",17,1,3,33.3,0,2,0.0,2,3,66.7,0,1,1,7,2,0,0,2,4
"Mon, Nov 6",@ IND,"L, 111-152",12,0,2,0.0,0,1,0.0,2,2,100.0,1,0,1,1,0,2,1,0,2
