Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. NOR,"L, 110-99",31,4,11,36.4,3,7,42.9,2,2,100.0,0,3,3,1,0,0,0,4,13
"Mon, Jan 29",vs. LAL,"W, 119-135",28,7,12,58.3,2,4,50.0,1,2,50.0,3,0,3,1,1,1,0,5,17
"Sat, Jan 27",@ BKN,"L, 104-106",39,7,18,38.9,1,7,14.3,4,4,100.0,1,4,5,2,2,1,0,6,19
"Fri, Jan 26",@ CHA,"W, 138-104",25,3,7,42.9,1,3,33.3,5,6,83.3,0,0,0,1,0,0,1,3,12
"Wed, Jan 24",vs. POR,"L, 137-131",32,5,11,45.5,3,6,50.0,1,1,100.0,0,4,4,4,3,0,0,3,14
"Sun, Jan 21",vs. BOS,"L, 116-107",40,8,22,36.4,5,15,33.3,4,5,80.0,1,4,5,1,0,4,0,5,25
"Sat, Jan 20",vs. UTH,"W, 126-127",35,3,10,30.0,1,3,33.3,0,0,0.0,0,5,5,1,0,0,0,2,7
"Wed, Jan 17",@ NYK,"L, 94-109",40,4,13,30.8,1,6,16.7,2,2,100.0,0,1,1,0,1,1,1,3,11
"Mon, Jan 15",@ PHI,"L, 115-124",31,7,9,77.8,2,3,66.7,2,4,50.0,2,4,6,0,0,2,0,2,18
"Sat, Jan 13",@ BOS,"L, 113-145",25,3,8,37.5,0,1,0.0,6,6,100.0,1,0,1,0,0,1,0,4,12
"Tue, Dec 26",vs. IND,"L, 123-117",22,4,9,44.4,0,1,0.0,1,1,100.0,1,0,1,1,0,1,0,0,9
