Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIA,"L, 106-115",38,7,14,50.0,1,1,100.0,4,6,66.7,4,13,17,13,1,1,1,0,19
"Mon, Jan 29",@ MEM,"W, 103-94",38,10,11,90.9,0,0,0.0,0,0,0.0,6,20,26,5,3,0,0,3,20
"Sat, Jan 27",@ DAL,"W, 120-115",36,7,10,70.0,1,1,100.0,2,2,100.0,3,8,11,4,6,0,0,6,17
"Thu, Jan 25",@ GSW,"W, 134-133",35,8,11,72.7,2,2,100.0,0,0,0.0,1,7,8,13,3,0,1,5,18
"Mon, Jan 22",vs. ATL,"W, 107-122",38,4,10,40.0,0,1,0.0,6,6,100.0,2,19,21,6,4,2,0,4,14
"Thu, Jan 18",vs. IND,"L, 126-121",38,8,13,61.5,0,1,0.0,5,8,62.5,0,11,11,10,3,0,1,5,21
"Tue, Jan 16",@ PHO,"L, 117-119",39,9,11,81.8,1,1,100.0,2,4,50.0,2,10,12,11,2,0,1,2,21
"Sun, Jan 14",@ MIL,"L, 142-143",45,9,10,90.0,1,1,100.0,2,2,100.0,3,10,13,15,3,1,1,3,21
"Fri, Jan 12",@ PHI,"L, 93-112",33,6,10,60.0,0,0,0.0,2,2,100.0,5,7,12,5,4,0,0,3,14
"Wed, Jan 10",@ CHA,"W, 123-98",28,9,13,69.2,1,2,50.0,5,6,83.3,1,9,10,7,2,0,1,2,24
"Tue, Jan 9",@ DET,"W, 131-110",38,16,21,76.2,1,1,100.0,4,4,100.0,5,5,10,13,5,3,0,3,37
