GAME,MIN,REB,AST,TO,STL,BLK,PF,PTS,W,L,Diff,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate
0,18,5,0,0,1,1,1,7,26.0,23.0,0.8,113.3,53.2%,14.6%,29.0%,23.1,112.5,54.9%,15.7%,25.7%,21.4
1,14,2,5,1,0,0,6,4,9.0,39.0,-9.8,111.9,54.4%,13.3%,22.2%,17.9,121.8,56.6%,13.6%,32.1%,20.1
2,18,4,1,0,0,1,1,9,34.0,15.0,6.9,115.9,56.9%,15.3%,26.0%,22.0,109.1,51.5%,14.5%,26.3%,19.4
3,19,4,2,1,0,1,0,12,10.0,37.0,-11.9,110.6,52.9%,13.9%,25.9%,17.0,122.5,58.6%,13.8%,27.5%,21.3
4,21,4,0,0,0,0,1,5,37.0,12.0,8.9,121.2,57.1%,12.6%,27.1%,19.9,112.3,52.8%,11.9%,26.0%,14.9
5,17,7,1,0,1,0,2,4,21.0,27.0,-1.9,118.6,54.1%,13.3%,30.6%,21.7,120.4,58.0%,14.2%,28.2%,19.9
6,22,6,3,0,1,1,1,5,23.0,26.0,-2.0,114.1,53.4%,12.6%,27.7%,18.4,116.1,55.6%,14.6%,27.4%,20.1
7,17,6,1,0,0,3,2,5,10.0,37.0,-11.9,110.6,52.9%,13.9%,25.9%,17.0,122.5,58.6%,13.8%,27.5%,21.3
8,24,8,4,0,0,2,3,11,6.0,42.0,-10.9,111.3,53.8%,15.6%,27.8%,19.3,122.2,56.6%,11.5%,26.3%,24.4
9,22,6,2,1,1,1,3,6,30.0,16.0,4.5,115.9,55.2%,13.7%,28.1%,18.6,111.4,53.0%,14.7%,26.5%,21.0
10,15,1,4,0,1,2,1,6,32.0,16.0,3.4,120.9,57.6%,12.5%,25.1%,23.4,117.5,54.2%,11.4%,26.3%,19.4
