Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ MEM,"W, 108-101",33,10,19,52.6,3,9,33.3,2,4,50.0,0,4,4,7,4,0,0,3,25
"Wed, Jan 31",vs. DET,"W, 121-128",35,14,25,56.0,6,13,46.2,11,12,91.7,2,4,6,8,2,2,1,2,45
"Mon, Jan 29",vs. LAC,"W, 108-118",39,11,21,52.4,2,10,20.0,4,6,66.7,1,3,4,12,2,2,1,3,28
"Fri, Jan 26",@ MIL,"W, 112-100",37,12,27,44.4,6,12,50.0,2,4,50.0,1,7,8,6,5,1,1,2,32
"Wed, Jan 24",@ MIL,"L, 116-126",39,10,24,41.7,2,11,18.2,1,4,25.0,0,7,7,8,6,1,0,5,23
"Mon, Jan 22",@ ORL,"W, 126-99",30,9,19,47.4,3,8,37.5,4,4,100.0,0,3,3,13,3,4,0,3,25
"Sat, Jan 20",@ ATL,"W, 116-95",36,6,17,35.3,0,6,0.0,6,6,100.0,0,6,6,8,1,0,1,3,18
"Wed, Jan 17",vs. MIL,"W, 95-135",26,12,19,63.2,4,8,50.0,3,4,75.0,1,4,5,7,1,3,0,1,31
"Mon, Jan 15",vs. CHI,"W, 91-109",37,11,21,52.4,4,10,40.0,8,8,100.0,2,1,3,7,2,2,0,0,34
"Thu, Jan 11",vs. BKN,"W, 102-111",41,15,30,50.0,4,12,33.3,11,13,84.6,2,10,12,6,7,4,0,1,45
"Sun, Jan 7",vs. SAS,"W, 115-117",37,7,18,38.9,1,10,10.0,2,4,50.0,0,2,2,9,4,1,0,1,17
