Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. ORL,"L, 108-98",12,1,6,16.7,0,4,0.0,0,2,0.0,0,1,1,0,1,0,0,0,2
"Mon, Jan 29",vs. WAS,"L, 118-113",10,2,4,50.0,2,4,50.0,0,0,0.0,1,0,1,1,0,0,0,2,6
"Sat, Jan 27",vs. MIN,"W, 112-113",17,3,5,60.0,3,5,60.0,0,0,0.0,0,1,1,1,0,0,0,0,9
"Fri, Jan 26",vs. POR,"W, 100-116",14,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,1,0
"Wed, Jan 24",vs. OKC,"L, 140-114",17,3,6,50.0,2,4,50.0,0,0,0.0,0,1,1,3,3,0,0,1,8
"Mon, Jan 22",@ PHI,"L, 123-133",22,5,12,41.7,3,9,33.3,0,0,0.0,3,2,5,0,2,0,0,1,13
"Sat, Jan 20",@ WAS,"W, 131-127",10,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,2,3
"Fri, Jan 19",@ CHA,"L, 120-124",9,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,1,1,0,0,0
"Wed, Jan 17",@ BOS,"L, 98-117",12,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2
"Mon, Jan 15",@ ATL,"L, 99-109",15,2,5,40.0,2,5,40.0,0,0,0.0,0,1,1,0,0,0,0,1,6
"Fri, Jan 12",vs. CHA,"W, 99-135",12,4,6,66.7,4,6,66.7,2,3,66.7,0,2,2,0,0,0,0,0,14
