Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. MIL,"W, 116-119",13,4,6,66.7,2,2,100.0,0,0,0.0,2,2,4,1,1,1,0,3,10
"Mon, Jan 29",vs. PHI,"W, 104-130",12,2,3,66.7,1,1,100.0,0,0,0.0,1,0,1,1,0,0,0,5,5
"Sun, Jan 28",vs. CHI,"L, 104-96",11,1,7,14.3,1,7,14.3,0,0,0.0,0,3,3,0,0,0,0,2,3
"Fri, Jan 26",@ SAS,"L, 100-116",13,1,4,25.0,0,2,0.0,1,2,50.0,1,2,3,0,0,0,0,2,3
"Wed, Jan 24",@ HOU,"W, 137-131",12,4,7,57.1,1,3,33.3,0,0,0.0,1,1,2,2,0,0,0,0,9
"Tue, Jan 23",@ OKC,"L, 109-111",21,3,5,60.0,2,3,66.7,2,2,100.0,1,3,4,3,2,1,1,3,10
"Sun, Jan 21",@ LAL,"L, 110-134",22,6,9,66.7,2,4,50.0,2,2,100.0,2,1,3,4,1,0,1,3,16
"Fri, Jan 19",vs. IND,"W, 115-118",18,1,1,100.0,0,0,0.0,1,2,50.0,2,3,5,2,0,0,2,4,3
"Wed, Jan 17",vs. BKN,"W, 103-105",25,7,9,77.8,2,4,50.0,1,1,100.0,2,5,7,3,1,0,0,4,17
"Sun, Jan 14",vs. PHO,"L, 127-116",39,7,15,46.7,2,6,33.3,1,1,100.0,2,4,6,1,2,2,1,4,17
"Fri, Jan 12",@ MIN,"L, 93-116",24,6,14,42.9,2,6,33.3,0,3,0.0,3,3,6,0,1,1,1,4,14
