Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIN,"L, 87-121",14,0,0,0.0,0,0,0.0,1,4,25.0,1,1,2,3,4,0,0,3,1
"Mon, Jan 29",vs. ORL,"W, 129-131",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0
"Wed, Jan 17",@ LAL,"L, 110-127",7,0,0,0.0,0,0,0.0,1,2,50.0,2,2,4,0,1,0,0,1,1
"Mon, Jan 15",vs. NOR,"W, 120-125",16,2,2,100.0,0,0,0.0,0,0,0.0,3,1,4,2,0,0,2,5,4
"Sat, Jan 13",vs. NOR,"L, 118-108",34,0,1,0.0,0,0,0.0,2,2,100.0,5,4,9,8,1,3,0,5,2
"Thu, Jan 11",vs. NYK,"W, 124-128",28,2,3,66.7,0,0,0.0,0,0,0.0,5,4,9,2,0,1,0,5,4
"Tue, Jan 9",vs. MEM,"L, 120-103",22,2,3,66.7,0,0,0.0,0,0,0.0,1,3,4,3,2,2,1,3,4
"Sun, Jan 7",vs. MIN,"W, 108-115",28,3,5,60.0,0,0,0.0,3,5,60.0,5,1,6,4,0,1,0,4,9
"Fri, Jan 5",vs. POR,"W, 103-139",26,2,4,50.0,0,0,0.0,2,4,50.0,2,7,9,3,2,1,1,0,6
"Wed, Jan 3",vs. POR,"W, 97-126",13,1,1,100.0,0,0,0.0,3,6,50.0,1,2,3,2,1,0,0,2,5
"Mon, Jan 1",@ UTH,"L, 90-127",10,2,3,66.7,0,0,0.0,0,0,0.0,2,2,4,1,0,2,0,1,4
