Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Dec 27",@ DAL,"W, 113-110",6,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,3,0,0,0,2,0
"Sat, Dec 23",@ CHI,"W, 109-95",9,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,1,0,3
"Thu, Dec 21",vs. NOR,"L, 123-104",9,1,5,20.0,1,3,33.3,0,0,0.0,0,0,0,1,0,0,0,1,3
"Wed, Nov 22",vs. MIA,"L, 129-96",16,1,5,20.0,1,5,20.0,0,0,0.0,0,1,1,1,0,1,0,1,3
"Sun, Nov 19",vs. DEN,"W, 109-121",4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Fri, Nov 17",vs. DET,"W, 100-108",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Nov 15",@ POR,"W, 109-95",2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
"Sat, Nov 11",@ GSW,"W, 118-110",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Tue, Oct 31",vs. NYK,"L, 109-91",23,3,8,37.5,2,5,40.0,1,2,50.0,1,5,6,1,1,0,1,1,9
"Sat, Oct 28",vs. IND,"L, 125-113",7,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
