Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",@ CHI,"W, 118-107",3,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0
"Fri, Jan 26",vs. LAC,"L, 127-107",2,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0
"Sat, Jan 20",@ NYK,"L, 100-126",4,0,3,0.0,0,1,0.0,2,2,100.0,2,0,2,0,0,0,0,0,2
"Wed, Jan 17",vs. MIA,"W, 97-121",2,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0
"Fri, Jan 12",@ UTH,"L, 113-145",8,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,2,1,0,0,1,0
"Wed, Jan 10",@ LAC,"L, 120-126",8,1,2,50.0,1,1,100.0,0,0,0.0,0,2,2,1,0,0,0,2,3
"Sun, Jan 7",@ GSW,"W, 133-118",4,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2
"Fri, Dec 15",vs. ATL,"L, 125-104",3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
"Tue, Nov 21",@ ORL,"L, 107-126",4,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,2
"Wed, Nov 15",vs. MIL,"L, 128-112",4,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,0,3
"Sat, Nov 11",@ BOS,"L, 94-117",4,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,2
