Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Jan 30",vs. LAL,"W, 122-138",6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,4,0
"Sun, Jan 28",vs. TOR,"W, 125-126",8,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0
"Fri, Jan 26",vs. DAL,"L, 148-143",14,2,2,100.0,2,2,100.0,2,2,100.0,1,1,2,0,0,0,0,1,8
"Wed, Jan 24",@ GSW,"L, 112-134",20,1,7,14.3,0,6,0.0,1,2,50.0,0,0,0,1,1,0,0,3,3
"Mon, Jan 22",@ SAC,"L, 107-122",23,3,5,60.0,3,5,60.0,0,0,0.0,0,1,1,0,2,0,0,5,9
"Sat, Jan 20",vs. CLE,"L, 116-95",14,1,3,33.3,1,3,33.3,1,1,100.0,0,2,2,2,0,0,0,0,4
"Fri, Jan 19",@ MIA,"W, 109-108",20,3,5,60.0,3,4,75.0,0,0,0.0,0,3,3,3,1,0,0,2,9
"Wed, Jan 17",vs. ORL,"W, 104-106",13,2,3,66.7,2,3,66.7,0,0,0.0,2,2,4,0,2,1,0,1,6
"Mon, Jan 15",vs. SAS,"W, 99-109",13,2,4,50.0,2,4,50.0,0,0,0.0,0,0,0,0,0,0,0,0,6
"Sat, Jan 13",vs. WAS,"L, 127-99",15,3,6,50.0,2,5,40.0,0,2,0.0,0,2,2,1,1,0,0,1,8
"Sun, Jan 7",@ ORL,"L, 110-117",2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
