Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ MEM,"W, 108-101",22,2,7,28.6,1,4,25.0,0,0,0.0,1,4,5,0,0,0,0,4,5
"Wed, Jan 31",vs. DET,"W, 121-128",17,2,4,50.0,0,0,0.0,0,0,0.0,0,2,2,5,0,0,0,0,4
"Mon, Jan 29",vs. LAC,"W, 108-118",20,3,10,30.0,2,7,28.6,2,2,100.0,0,2,2,1,0,0,1,1,10
"Fri, Jan 26",@ MIL,"W, 112-100",27,3,5,60.0,0,2,0.0,4,4,100.0,0,5,5,2,1,0,0,2,10
"Wed, Jan 24",@ MIL,"L, 116-126",21,5,7,71.4,2,3,66.7,2,2,100.0,1,3,4,2,0,0,0,2,14
"Mon, Jan 22",@ ORL,"W, 126-99",28,3,9,33.3,2,7,28.6,3,4,75.0,0,5,5,1,0,0,1,3,11
"Sat, Jan 20",@ ATL,"W, 116-95",21,5,9,55.6,4,8,50.0,0,0,0.0,0,5,5,2,0,0,1,2,14
"Wed, Jan 17",vs. MIL,"W, 95-135",27,13,14,92.9,5,6,83.3,2,3,66.7,0,5,5,2,1,0,0,2,33
"Mon, Jan 15",vs. CHI,"W, 91-109",19,3,11,27.3,3,9,33.3,0,0,0.0,0,2,2,0,1,0,1,2,9
"Thu, Jan 11",vs. BKN,"W, 102-111",16,3,6,50.0,2,4,50.0,2,2,100.0,1,3,4,2,0,0,0,3,10
"Sun, Jan 7",vs. SAS,"W, 115-117",27,4,7,57.1,3,6,50.0,0,0,0.0,0,4,4,1,1,0,1,2,11
