Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Mon, Jan 29",@ DAL,"L, 129-131",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Sun, Jan 28",vs. PHO,"W, 98-113",2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0
"Mon, Jan 22",vs. CLE,"L, 126-99",9,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,1,2
"Fri, Jan 19",vs. PHI,"L, 124-109",16,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,1,1,1,1,4,2
"Wed, Jan 17",@ ATL,"L, 104-106",24,5,8,62.5,0,1,0.0,0,0,0.0,7,3,10,3,1,1,2,3,10
"Mon, Jan 15",@ NYK,"W, 98-94",29,1,3,33.3,0,0,0.0,1,2,50.0,4,7,11,3,0,0,0,3,3
"Sat, Jan 13",@ OKC,"L, 100-112",22,4,6,66.7,0,1,0.0,0,0,0.0,2,7,9,2,1,2,0,2,8
"Fri, Jan 12",@ MIA,"L, 96-99",19,1,1,100.0,0,0,0.0,0,2,0.0,0,9,9,1,0,1,1,1,2
"Tue, Jan 9",vs. MIN,"L, 113-92",17,1,3,33.3,0,0,0.0,0,0,0.0,4,2,6,1,1,1,2,4,2
"Sun, Jan 7",vs. ATL,"W, 110-117",28,5,6,83.3,0,0,0.0,1,2,50.0,7,7,14,3,0,0,2,4,11
"Wed, Jan 3",@ SAC,"L, 135-138",28,2,5,40.0,0,1,0.0,2,2,100.0,1,5,6,2,1,1,3,3,6
