Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Tue, Dec 26",@ LAC,"L, 104-113",24,3,8,37.5,0,2,0.0,2,2,100.0,1,1,2,5,1,1,0,2,8
"Sat, Dec 23",vs. DEN,"L, 102-95",31,4,7,57.1,0,0,0.0,0,0,0.0,0,6,6,4,4,1,2,2,8
"Wed, Dec 20",@ IND,"L, 113-144",24,3,5,60.0,1,1,100.0,4,6,66.7,0,1,1,3,2,0,0,0,11
"Fri, Dec 15",vs. NOR,"L, 112-107",34,4,10,40.0,1,4,25.0,0,0,0.0,0,3,3,4,1,1,1,2,9
"Wed, Dec 13",@ MIA,"L, 104-115",35,7,12,58.3,1,2,50.0,5,5,100.0,1,4,5,7,4,0,0,2,20
"Mon, Dec 11",vs. MIA,"L, 116-114",32,7,12,58.3,1,3,33.3,2,4,50.0,0,6,6,7,0,1,0,4,17
"Fri, Dec 8",vs. TOR,"W, 116-119",35,10,15,66.7,1,2,50.0,3,4,75.0,3,1,4,4,3,1,0,1,24
"Wed, Dec 6",@ CHI,"L, 100-111",35,10,18,55.6,2,4,50.0,5,5,100.0,2,2,4,4,5,3,1,2,27
"Sat, Dec 2",vs. MIN,"L, 123-117",31,7,11,63.6,1,2,50.0,2,2,100.0,0,1,1,3,2,2,0,1,17
"Thu, Nov 30",@ BKN,"W, 129-128",32,8,14,57.1,2,4,50.0,4,4,100.0,2,4,6,6,2,0,0,1,22
"Tue, Nov 28",@ NYK,"L, 91-115",28,2,7,28.6,0,2,0.0,0,0,0.0,2,4,6,6,2,0,0,1,4
