Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. CLE,"L, 108-101",29,3,14,21.4,1,8,12.5,3,4,75.0,2,3,5,2,1,0,2,2,10
"Mon, Jan 29",vs. SAC,"L, 103-94",30,4,14,28.6,3,10,30.0,1,1,100.0,1,5,6,2,2,1,0,0,12
"Sun, Jan 28",@ IND,"L, 110-116",29,6,9,66.7,2,4,50.0,4,5,80.0,1,3,4,1,0,1,1,0,18
"Fri, Jan 26",vs. ORL,"W, 106-107",11,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0,1,0,0,0,2,5
"Wed, Jan 24",@ MIA,"W, 105-96",26,5,9,55.6,4,6,66.7,3,4,75.0,0,4,4,2,1,0,0,3,17
"Mon, Jan 22",@ TOR,"W, 108-100",21,3,5,60.0,1,3,33.3,0,0,0.0,0,5,5,1,0,1,1,0,7
"Sat, Jan 20",@ CHI,"L, 96-125",19,2,3,66.7,2,2,100.0,4,6,66.7,0,1,1,0,0,0,0,2,10
"Thu, Jan 18",@ MIN,"L, 103-118",10,0,3,0.0,0,2,0.0,1,2,50.0,2,1,3,0,1,0,0,2,1
"Mon, Jan 15",vs. GSW,"W, 107-116",29,6,9,66.7,5,8,62.5,6,8,75.0,1,5,6,1,2,2,2,3,23
"Sat, Jan 13",vs. NYK,"L, 106-94",27,9,14,64.3,2,4,50.0,0,0,0.0,2,4,6,1,2,0,1,0,20
"Fri, Jan 12",vs. LAC,"L, 128-119",9,1,5,20.0,0,1,0.0,2,3,66.7,3,2,5,1,0,0,0,1,4
