Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. PHO,"L, 136-120",2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0
"Mon, Jan 29",vs. UTH,"W, 114-147",3,1,2,50.0,1,2,50.0,0,0,0.0,1,2,3,1,1,0,0,2,3
"Sat, Jan 27",vs. HOU,"W, 104-106",0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Fri, Jan 19",@ LAL,"W, 130-112",5,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0
"Thu, Jan 11",@ CLE,"L, 102-111",3,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,1,1,0,0,0,2
"Tue, Jan 2",@ NOR,"L, 85-112",8,3,6,50.0,0,2,0.0,0,2,0.0,1,2,3,1,0,0,1,2,6
"Wed, Dec 27",vs. MIL,"L, 144-122",7,0,3,0.0,0,0,0.0,1,2,50.0,2,2,4,0,0,0,0,2,1
"Sat, Dec 23",vs. DET,"W, 115-126",1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Dec 20",vs. NYK,"L, 121-102",4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0
"Mon, Dec 18",@ UTH,"L, 108-125",3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Thu, Dec 14",@ DEN,"L, 101-124",15,4,9,44.4,0,1,0.0,3,3,100.0,3,3,6,1,0,1,0,1,11
