GAME,MIN,REB,AST,TO,STL,BLK,PF,PTS,W,L,Diff,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate
0,1,0,0,0,0,0,0,0,33.0,16.0,4.1,118.9,56.2%,13.0%,29.2%,18.0,114.7,53.6%,12.5%,26.7%,20.5
1,3,1,0,0,0,1,0,0,25.0,25.0,-0.2,115.4,56.1%,13.8%,23.2%,21.8,115.6,55.4%,13.6%,26.5%,16.7
2,13,2,0,0,0,2,0,2,19.0,28.0,-1.0,116.0,54.0%,12.9%,28.4%,17.8,117.0,54.7%,12.5%,26.8%,20.6
3,9,6,0,1,0,1,3,2,34.0,15.0,6.9,115.9,56.9%,15.3%,26.0%,22.0,109.1,51.5%,14.5%,26.3%,19.4
4,19,3,2,0,0,3,3,0,34.0,15.0,8.4,120.5,57.8%,12.3%,23.9%,21.2,112.1,52.5%,15.8%,30.7%,21.4
5,27,7,3,1,2,2,2,4,32.0,17.0,6.8,119.8,54.5%,13.5%,32.8%,21.2,113.0,54.3%,13.4%,25.0%,17.7
6,9,3,0,0,0,0,3,0,19.0,28.0,-1.0,116.0,54.0%,12.9%,28.4%,17.8,117.0,54.7%,12.5%,26.8%,20.6
7,18,2,1,1,0,0,3,0,26.0,22.0,-0.0,118.7,56.5%,12.5%,25.0%,20.0,118.7,56.4%,14.0%,29.3%,20.0
8,15,4,0,4,0,2,6,0,26.0,22.0,-0.0,118.7,56.5%,12.5%,25.0%,20.0,118.7,56.4%,14.0%,29.3%,20.0
9,23,5,1,2,0,1,6,4,28.0,21.0,3.6,119.7,57.0%,14.9%,28.5%,24.4,116.1,54.4%,12.9%,27.8%,19.0
10,10,2,1,0,0,2,3,2,10.0,39.0,-8.4,110.8,53.3%,14.6%,25.6%,17.4,119.1,56.6%,13.2%,28.0%,19.6
