Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",@ MEM,"W, 108-101",21,2,4,50.0,1,1,100.0,1,1,100.0,1,3,4,0,1,0,0,2,6
"Wed, Jan 31",vs. DET,"W, 121-128",30,6,8,75.0,0,0,0.0,2,2,100.0,2,1,3,0,0,4,0,1,14
"Mon, Jan 29",vs. LAC,"W, 108-118",33,5,10,50.0,3,4,75.0,4,4,100.0,1,0,1,3,1,1,0,0,17
"Fri, Jan 26",@ MIL,"W, 112-100",31,1,6,16.7,1,2,50.0,0,4,0.0,0,1,1,1,0,2,2,1,3
"Wed, Jan 24",@ MIL,"L, 116-126",24,3,5,60.0,0,1,0.0,4,4,100.0,1,0,1,0,0,0,0,2,10
"Mon, Jan 22",@ ORL,"W, 126-99",20,3,4,75.0,1,1,100.0,1,2,50.0,0,1,1,0,0,0,0,4,8
"Sat, Jan 20",@ ATL,"W, 116-95",33,5,9,55.6,1,3,33.3,1,3,33.3,0,5,5,2,2,2,0,3,12
"Wed, Jan 17",vs. MIL,"W, 95-135",26,5,7,71.4,0,0,0.0,0,1,0.0,1,2,3,7,0,1,1,2,10
"Mon, Jan 15",vs. CHI,"W, 91-109",25,3,12,25.0,1,6,16.7,0,0,0.0,1,4,5,1,1,0,0,1,7
"Thu, Jan 11",vs. BKN,"W, 102-111",35,4,12,33.3,2,5,40.0,2,2,100.0,3,1,4,0,1,0,0,4,12
"Sun, Jan 7",vs. SAS,"W, 115-117",27,1,2,50.0,1,2,50.0,0,0,0.0,4,1,5,1,2,0,0,0,3
