Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Thu, Feb 1",vs. IND,"W, 105-109",36,6,8,75.0,0,0,0.0,0,1,0.0,8,11,19,6,1,0,1,2,12
"Tue, Jan 30",vs. UTH,"W, 103-118",29,6,10,60.0,0,0,0.0,2,2,100.0,7,5,12,2,1,2,1,4,14
"Mon, Jan 29",@ CHA,"W, 113-92",16,4,4,100.0,0,0,0.0,2,3,66.7,1,3,4,1,1,3,0,2,10
"Sat, Jan 27",vs. MIA,"W, 109-125",16,2,2,100.0,0,0,0.0,0,0,0.0,2,4,6,1,0,0,0,2,4
"Sat, Jan 20",vs. TOR,"W, 100-126",23,0,1,0.0,0,0,0.0,1,2,50.0,0,4,4,1,0,0,0,2,1
"Thu, Jan 18",vs. WAS,"W, 109-113",39,3,5,60.0,0,0,0.0,0,0,0.0,5,12,17,3,2,2,1,2,6
"Wed, Jan 17",vs. HOU,"W, 94-109",41,3,5,60.0,0,0,0.0,1,1,100.0,2,9,11,5,2,2,2,4,7
"Mon, Jan 15",vs. ORL,"L, 98-94",28,3,6,50.0,0,0,0.0,1,1,100.0,5,7,12,3,2,0,0,5,7
"Sat, Jan 13",@ MEM,"W, 106-94",42,5,6,83.3,0,0,0.0,2,4,50.0,7,13,20,2,3,2,4,1,12
"Thu, Jan 11",@ DAL,"L, 124-128",32,2,3,66.7,0,0,0.0,4,4,100.0,5,10,15,3,0,1,0,4,8
"Tue, Jan 9",vs. POR,"W, 84-112",28,1,1,100.0,0,0,0.0,3,4,75.0,5,9,14,3,2,3,1,3,5
