Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. CHI,"L, 117-110",16,1,3,33.3,1,1,100.0,0,0,0.0,0,0,0,2,0,0,0,2,3
"Mon, Jan 29",vs. NYK,"L, 113-92",11,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,1,0
"Sat, Jan 27",vs. UTH,"L, 134-122",29,0,5,0.0,0,0,0.0,0,0,0.0,0,3,3,12,0,1,0,3,0
"Fri, Jan 26",vs. HOU,"L, 138-104",20,0,3,0.0,0,0,0.0,0,0,0.0,0,5,5,2,1,0,0,3,0
"Wed, Jan 24",@ DET,"L, 106-113",13,1,1,100.0,0,0,0.0,0,0,0.0,1,3,4,5,0,0,1,0,2
"Mon, Jan 22",@ MIN,"W, 128-125",11,3,3,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,2,0,2,6
"Sat, Jan 20",vs. PHI,"L, 97-89",19,1,4,25.0,0,0,0.0,0,0,0.0,0,2,2,5,2,0,0,0,2
"Wed, Jan 17",@ NOR,"L, 112-132",11,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,0,2
"Sun, Jan 14",@ MIA,"L, 87-104",12,0,1,0.0,0,0,0.0,1,2,50.0,1,1,2,0,0,0,0,0,1
"Fri, Jan 12",@ SAS,"L, 99-135",22,0,4,0.0,0,0,0.0,0,0,0.0,0,2,2,6,2,1,0,0,0
"Wed, Jan 10",vs. SAC,"L, 123-98",16,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2
