Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ MIN,"L, 87-121",31,6,14,42.9,1,5,20.0,2,2,100.0,0,2,2,2,5,1,0,2,15
"Mon, Jan 29",vs. ORL,"W, 129-131",27,8,9,88.9,4,5,80.0,0,0,0.0,0,1,1,7,1,1,1,2,20
"Sat, Jan 27",vs. SAC,"L, 120-115",19,1,7,14.3,1,5,20.0,0,0,0.0,2,3,5,7,1,0,0,2,3
"Fri, Jan 26",@ ATL,"W, 148-143",14,2,6,33.3,1,3,33.3,3,4,75.0,1,0,1,1,0,1,0,1,8
"Wed, Jan 24",vs. PHO,"L, 132-109",15,4,9,44.4,3,4,75.0,0,0,0.0,0,3,3,2,0,0,0,1,11
"Mon, Jan 22",vs. BOS,"L, 119-110",2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
"Wed, Jan 17",@ LAL,"L, 110-127",20,3,7,42.9,1,5,20.0,0,0,0.0,0,0,0,0,1,0,0,0,7
"Mon, Jan 15",vs. NOR,"W, 120-125",15,2,7,28.6,1,5,20.0,0,0,0.0,1,3,4,1,0,0,0,2,5
"Sat, Jan 13",vs. NOR,"L, 118-108",23,3,8,37.5,2,4,50.0,0,0,0.0,0,2,2,1,2,0,0,1,8
"Thu, Jan 11",vs. NYK,"W, 124-128",23,2,8,25.0,0,2,0.0,4,5,80.0,0,6,6,4,0,0,0,2,8
"Tue, Jan 9",vs. MEM,"L, 120-103",19,4,7,57.1,2,4,50.0,0,0,0.0,0,0,0,1,1,0,0,2,10
