Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",@ CLE,"L, 121-128",29,5,7,71.4,2,3,66.7,2,3,66.7,0,1,1,4,4,2,1,5,14
"Sun, Jan 28",vs. OKC,"W, 104-120",35,7,20,35.0,3,7,42.9,2,5,40.0,3,5,8,6,0,0,0,2,19
"Sat, Jan 27",vs. WAS,"L, 118-104",26,4,8,50.0,2,3,66.7,0,0,0.0,2,2,4,1,3,0,2,3,10
"Wed, Jan 24",vs. CHA,"W, 106-113",22,4,10,40.0,1,3,33.3,0,0,0.0,0,1,1,2,2,1,0,2,9
"Mon, Jan 22",vs. MIL,"L, 122-113",32,5,14,35.7,1,4,25.0,6,7,85.7,1,2,3,6,3,0,0,0,17
"Sat, Jan 20",vs. MIL,"L, 141-135",33,6,16,37.5,2,5,40.0,4,7,57.1,2,4,6,6,3,0,1,5,18
"Wed, Jan 17",vs. MIN,"L, 124-117",36,13,22,59.1,4,6,66.7,2,2,100.0,0,4,4,6,2,1,0,4,32
"Mon, Jan 15",@ WAS,"W, 129-117",32,9,18,50.0,2,7,28.6,4,7,57.1,1,6,7,6,5,0,3,0,24
"Fri, Jan 12",vs. HOU,"L, 112-110",28,8,19,42.1,1,6,16.7,1,4,25.0,5,2,7,8,3,0,1,3,18
"Wed, Jan 10",vs. SAS,"L, 130-108",30,7,18,38.9,2,10,20.0,3,5,60.0,0,3,3,5,1,2,2,0,19
"Tue, Jan 9",vs. SAC,"L, 131-110",33,7,17,41.2,2,9,22.2,6,8,75.0,5,0,5,6,4,2,0,4,22
