Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. DAL,"W, 87-121",24,5,10,50.0,0,4,0.0,1,1,100.0,1,1,2,4,1,0,0,4,11
"Mon, Jan 29",@ OKC,"W, 107-101",31,6,11,54.5,2,5,40.0,0,0,0.0,3,0,3,1,0,1,0,5,14
"Sat, Jan 27",@ SAS,"L, 112-113",33,2,5,40.0,1,3,33.3,2,2,100.0,0,3,3,2,0,4,0,2,7
"Thu, Jan 25",@ BKN,"W, 96-94",33,4,6,66.7,1,1,100.0,0,0,0.0,1,3,4,1,0,0,0,2,9
"Wed, Jan 24",@ WAS,"W, 118-107",30,5,11,45.5,1,4,25.0,2,2,100.0,2,3,5,0,1,2,0,4,13
"Mon, Jan 22",vs. CHA,"L, 128-125",35,3,9,33.3,2,7,28.6,1,2,50.0,0,5,5,4,1,1,0,2,9
"Sat, Jan 20",vs. OKC,"L, 102-97",27,6,11,54.5,3,5,60.0,0,1,0.0,1,1,2,0,2,0,0,4,15
"Thu, Jan 18",vs. MEM,"W, 103-118",36,5,9,55.6,1,2,50.0,0,0,0.0,1,2,3,0,2,1,1,0,11
"Wed, Jan 17",@ DET,"W, 124-117",30,8,11,72.7,3,4,75.0,4,4,100.0,2,1,3,0,1,1,0,0,23
"Sun, Jan 14",vs. LAC,"W, 105-109",35,6,10,60.0,2,3,66.7,0,0,0.0,1,3,4,4,4,2,0,2,14
"Fri, Jan 12",vs. POR,"W, 93-116",24,4,8,50.0,1,3,33.3,0,0,0.0,0,2,2,3,4,2,0,1,9
