Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 31",vs. NOR,"L, 110-99",7,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,2,0,1,0,0,2
"Mon, Jan 29",vs. LAL,"W, 119-135",19,3,7,42.9,1,2,50.0,0,0,0.0,0,1,1,0,1,0,0,2,7
"Sat, Jan 27",@ BKN,"L, 104-106",17,3,5,60.0,0,1,0.0,0,0,0.0,1,4,5,2,1,0,0,5,6
"Fri, Jan 26",@ CHA,"W, 138-104",11,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,1,2
"Sun, Jan 21",vs. BOS,"L, 116-107",15,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,2
"Sat, Jan 20",vs. UTH,"W, 126-127",14,1,4,25.0,0,1,0.0,0,0,0.0,3,0,3,3,0,1,1,2,2
"Wed, Jan 17",@ NYK,"L, 94-109",14,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,2
"Mon, Jan 15",@ PHI,"L, 115-124",13,1,4,25.0,0,3,0.0,0,0,0.0,1,3,4,2,0,0,0,4,2
"Sat, Jan 13",@ BOS,"L, 113-145",9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,1,0,1,0
"Fri, Jan 12",@ DET,"W, 112-110",20,1,2,50.0,0,0,0.0,0,0,0.0,2,5,7,1,1,0,0,1,2
"Wed, Jan 10",@ CHI,"L, 119-124",18,1,3,33.3,0,2,0.0,1,2,50.0,1,1,2,0,0,0,0,1,3
